CookerStat, GenerateAssetRegistry=0.046574, Initialize=42.538654, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_11, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=2.264004, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.079021, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=49.159405, TagPackageExports=2.050374, BeginCacheForCookedPlatformData=0.007812, SerializeImports=3.697224, GatherLocalizableTextData=21.746166, MarkNames=0.074215, SerializeSummary=0.010215, SerializeNames=0.451900, SerializeGatherableTextData=0.026740, BuildExportMap=0.419751, SortExportsNonSeekfree=1.078069, SortExportsSeekfreeConstructor=0.040561, SortExportsSeekfreeInner=18.306139, SortExportsSeekfree=0.003606, BuildDependencyMap=0.116281, SerializeImportMap=0.051379, SerializeExportMap=0.049576, SerializeDependencyMap=0.012621, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.339175, SerializeExports=13.354175, SerializeBulkData=1041.782104, MoveFile=4.206814, UnaccountedTime=1.313034, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_12, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem.uasset, AutoPackageBackupDelegate=5.644835, FlushAsyncLoading=0.006013, FlushStreamingFunc=0.103056, BlockTillAllRequestsFinished=0.003308, ResetLoadersForSaveUnMarkAllObjects=0.157140, TagPackageExports=14.329783, BeginCacheForCookedPlatformData=0.003003, SerializeImports=15.910532, GatherLocalizableTextData=11.980146, MarkNames=0.074517, SerializeSummary=0.012018, SerializeNames=0.291452, SerializeGatherableTextData=0.103958, BuildExportMap=0.256598, SortExportsNonSeekfree=3.322844, SortExportsSeekfreeConstructor=0.044469, SortExportsSeekfreeInner=16.726295, SortExportsSeekfree=0.004206, BuildDependencyMap=0.126496, SerializeImportMap=0.016227, SerializeExportMap=0.080824, SerializeDependencyMap=0.015926, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.383590, SerializeExports=21.644007, SerializeBulkData=0.010516, MoveFile=1.678098, UnaccountedTime=1.371022, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_13, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=14.828857, FlushAsyncLoading=0.030946, FlushStreamingFunc=0.122592, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=52.643295, TagPackageExports=2.090938, BeginCacheForCookedPlatformData=0.001501, SerializeImports=3.722761, GatherLocalizableTextData=21.606750, MarkNames=0.073314, SerializeSummary=0.009917, SerializeNames=0.429664, SerializeGatherableTextData=0.025239, BuildExportMap=0.354551, SortExportsNonSeekfree=0.972904, SortExportsSeekfreeConstructor=0.039961, SortExportsSeekfreeInner=18.484015, SortExportsSeekfree=0.003308, BuildDependencyMap=0.117179, SerializeImportMap=0.049576, SerializeExportMap=0.049576, SerializeDependencyMap=0.011720, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.315437, SerializeExports=13.940081, SerializeBulkData=1037.027466, MoveFile=3.672887, UnaccountedTime=1.296207, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_14, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=22.284300, FlushAsyncLoading=0.006009, FlushStreamingFunc=0.117179, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.188392, TagPackageExports=18.891443, BeginCacheForCookedPlatformData=0.002705, SerializeImports=19.417864, GatherLocalizableTextData=12.928415, MarkNames=0.113573, SerializeSummary=0.011120, SerializeNames=0.283636, SerializeGatherableTextData=0.135511, BuildExportMap=0.230156, SortExportsNonSeekfree=4.135303, SortExportsSeekfreeConstructor=0.056487, SortExportsSeekfreeInner=18.359623, SortExportsSeekfree=0.003606, BuildDependencyMap=0.146624, SerializeImportMap=0.032451, SerializeExportMap=0.087135, SerializeDependencyMap=0.020433, SerializeStringAssetReferenceMap=0.001799, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.877857, SerializeExports=24.798592, SerializeBulkData=0.008412, MoveFile=2.903096, UnaccountedTime=1.651354, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_15, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=2.337016, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.063699, BlockTillAllRequestsFinished=0.004806, ResetLoadersForSaveUnMarkAllObjects=0.181481, TagPackageExports=18.066368, BeginCacheForCookedPlatformData=0.003006, SerializeImports=19.831001, GatherLocalizableTextData=13.151359, MarkNames=0.100654, SerializeSummary=0.027344, SerializeNames=0.297762, SerializeGatherableTextData=0.136711, BuildExportMap=0.230756, SortExportsNonSeekfree=4.121181, SortExportsSeekfreeConstructor=0.042066, SortExportsSeekfreeInner=17.017145, SortExportsSeekfree=0.003606, BuildDependencyMap=0.231959, SerializeImportMap=0.019230, SerializeExportMap=0.089839, SerializeDependencyMap=0.020731, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.563871, SerializeExports=26.311733, SerializeBulkData=0.006910, MoveFile=3.405772, UnaccountedTime=1.597572, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_16, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=2.378184, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.077222, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.138812, TagPackageExports=19.141432, BeginCacheForCookedPlatformData=0.003003, SerializeImports=21.073725, GatherLocalizableTextData=13.707220, MarkNames=0.078421, SerializeSummary=0.011418, SerializeNames=0.310682, SerializeGatherableTextData=0.151735, BuildExportMap=0.290249, SortExportsNonSeekfree=4.433963, SortExportsSeekfreeConstructor=0.039063, SortExportsSeekfreeInner=17.175488, SortExportsSeekfree=0.003304, BuildDependencyMap=0.156544, SerializeImportMap=0.018027, SerializeExportMap=0.091944, SerializeDependencyMap=0.021935, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.634778, SerializeExports=27.336922, SerializeBulkData=0.007812, MoveFile=2.980612, UnaccountedTime=1.441631, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_17, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=5.558006, FlushAsyncLoading=0.004806, FlushStreamingFunc=0.117183, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.146326, TagPackageExports=18.816029, BeginCacheForCookedPlatformData=0.003606, SerializeImports=20.614914, GatherLocalizableTextData=13.547372, MarkNames=0.087738, SerializeSummary=0.012919, SerializeNames=0.302568, SerializeGatherableTextData=0.152335, BuildExportMap=0.264112, SortExportsNonSeekfree=4.321288, SortExportsSeekfreeConstructor=0.039961, SortExportsSeekfreeInner=19.326221, SortExportsSeekfree=0.004206, BuildDependencyMap=0.164352, SerializeImportMap=0.018928, SerializeExportMap=0.092842, SerializeDependencyMap=0.022233, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.739940, SerializeExports=27.435776, SerializeBulkData=0.008713, MoveFile=1.508035, UnaccountedTime=1.420300, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_18, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Maps/FirstPersonExampleMap_Auto1.umap, AutoPackageBackupDelegate=14.885046, FlushAsyncLoading=0.023134, FlushStreamingFunc=0.146929, BlockTillAllRequestsFinished=0.005409, ResetLoadersForSaveUnMarkAllObjects=53.251137, TagPackageExports=2.106864, BeginCacheForCookedPlatformData=0.001501, SerializeImports=3.699627, GatherLocalizableTextData=21.656927, MarkNames=0.073314, SerializeSummary=0.011418, SerializeNames=0.468425, SerializeGatherableTextData=0.026442, BuildExportMap=0.353348, SortExportsNonSeekfree=1.010161, SortExportsSeekfreeConstructor=0.040863, SortExportsSeekfreeInner=18.436544, SortExportsSeekfree=0.003304, BuildDependencyMap=0.151735, SerializeImportMap=0.049576, SerializeExportMap=0.050478, SerializeDependencyMap=0.014123, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.339171, SerializeExports=13.400145, SerializeBulkData=1041.236084, MoveFile=2.264906, UnaccountedTime=0.247885, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_19, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=4.433364, FlushAsyncLoading=0.004508, FlushStreamingFunc=0.098251, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.143319, TagPackageExports=20.018789, BeginCacheForCookedPlatformData=0.004508, SerializeImports=20.967659, GatherLocalizableTextData=14.066278, MarkNames=0.082325, SerializeSummary=0.011418, SerializeNames=0.301369, SerializeGatherableTextData=0.140015, BuildExportMap=0.280336, SortExportsNonSeekfree=4.348330, SortExportsSeekfreeConstructor=0.039961, SortExportsSeekfreeInner=20.035017, SortExportsSeekfree=0.004206, BuildDependencyMap=0.183586, SerializeImportMap=0.018630, SerializeExportMap=0.094045, SerializeDependencyMap=0.022534, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.739642, SerializeExports=27.681253, SerializeBulkData=0.009313, MoveFile=3.002547, UnaccountedTime=1.475886, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_20, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=3.689114, FlushAsyncLoading=0.004206, FlushStreamingFunc=0.130102, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.227153, TagPackageExports=20.768452, BeginCacheForCookedPlatformData=0.005107, SerializeImports=21.922537, GatherLocalizableTextData=14.672317, MarkNames=0.085931, SerializeSummary=0.011418, SerializeNames=0.304069, SerializeGatherableTextData=0.143323, BuildExportMap=0.287246, SortExportsNonSeekfree=4.647594, SortExportsSeekfreeConstructor=0.045069, SortExportsSeekfreeInner=20.543102, SortExportsSeekfree=0.004210, BuildDependencyMap=0.174567, SerializeImportMap=0.019230, SerializeExportMap=0.104260, SerializeDependencyMap=0.023440, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.282283, SerializeExports=29.088329, SerializeBulkData=0.009015, MoveFile=2.644997, UnaccountedTime=1.496315, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
