CookerStat, GenerateAssetRegistry=0.017729, Initialize=0.094041, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_11, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=3.724743, FlushAsyncLoading=0.003308, FlushStreamingFunc=0.191089, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=67.880089, TagPackageExports=3.760800, BeginCacheForCookedPlatformData=0.002705, SerializeImports=4.741486, GatherLocalizableTextData=31.151217, MarkNames=0.120182, SerializeSummary=0.013523, SerializeNames=0.606015, SerializeGatherableTextData=0.051379, BuildExportMap=0.862606, SortExportsNonSeekfree=1.512192, SortExportsSeekfreeConstructor=0.045069, SortExportsSeekfreeInner=39.840389, SortExportsSeekfree=0.004504, BuildDependencyMap=0.168256, SerializeImportMap=0.078417, SerializeExportMap=0.073012, SerializeDependencyMap=0.029746, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.786806, SerializeExports=20.142832, SerializeBulkData=1047.913330, MoveFile=3.791444, UnaccountedTime=0.313677, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_12, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/FirstPersonGameMode.uasset, AutoPackageBackupDelegate=5.041040, FlushAsyncLoading=0.009011, FlushStreamingFunc=0.228345, BlockTillAllRequestsFinished=0.010818, ResetLoadersForSaveUnMarkAllObjects=0.280626, TagPackageExports=0.234056, BeginCacheForCookedPlatformData=0.001203, SerializeImports=0.952143, GatherLocalizableTextData=0.266802, MarkNames=0.009317, SerializeSummary=0.007510, SerializeNames=0.051077, SerializeGatherableTextData=0.003304, BuildExportMap=0.042364, SortExportsNonSeekfree=0.020131, SortExportsSeekfreeConstructor=0.039060, SortExportsSeekfreeInner=2.479658, SortExportsSeekfree=0.002705, BuildDependencyMap=0.009615, SerializeImportMap=0.006009, SerializeExportMap=0.005409, SerializeDependencyMap=0.002105, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.185084, SerializeExports=0.380974, SerializeBulkData=0.002705, MoveFile=1.130916, UnaccountedTime=1.167569, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_13, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyController.uasset, AutoPackageBackupDelegate=0.075713, FlushAsyncLoading=0.002403, FlushStreamingFunc=0.215128, BlockTillAllRequestsFinished=0.004806, ResetLoadersForSaveUnMarkAllObjects=0.143018, TagPackageExports=0.979181, BeginCacheForCookedPlatformData=0.001203, SerializeImports=1.572285, GatherLocalizableTextData=0.929005, MarkNames=0.015326, SerializeSummary=0.008110, SerializeNames=0.078719, SerializeGatherableTextData=0.054985, BuildExportMap=0.058889, SortExportsNonSeekfree=0.154734, SortExportsSeekfreeConstructor=0.051677, SortExportsSeekfreeInner=2.839003, SortExportsSeekfree=0.002105, BuildDependencyMap=0.015922, SerializeImportMap=0.006910, SerializeExportMap=0.008713, SerializeDependencyMap=0.025541, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.276417, SerializeExports=1.454204, SerializeBulkData=0.003606, MoveFile=1.485750, UnaccountedTime=1.573488, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_14, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyController.uasset, AutoPackageBackupDelegate=4.862271, FlushAsyncLoading=0.003904, FlushStreamingFunc=0.170361, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.140313, TagPackageExports=1.120996, BeginCacheForCookedPlatformData=0.001203, SerializeImports=2.002533, GatherLocalizableTextData=1.044083, MarkNames=0.016227, SerializeSummary=0.008412, SerializeNames=0.075113, SerializeGatherableTextData=0.060093, BuildExportMap=0.098247, SortExportsNonSeekfree=0.163447, SortExportsSeekfreeConstructor=0.039361, SortExportsSeekfreeInner=3.201351, SortExportsSeekfree=0.003606, BuildDependencyMap=0.018328, SerializeImportMap=0.008110, SerializeExportMap=0.009317, SerializeDependencyMap=0.002403, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.278525, SerializeExports=1.817152, SerializeBulkData=0.003908, MoveFile=1.252297, UnaccountedTime=1.181692, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_15, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyController.uasset, AutoPackageBackupDelegate=7.626157, FlushAsyncLoading=0.011716, FlushStreamingFunc=0.258394, BlockTillAllRequestsFinished=0.006609, ResetLoadersForSaveUnMarkAllObjects=0.257492, TagPackageExports=1.110487, BeginCacheForCookedPlatformData=0.001501, SerializeImports=1.877844, GatherLocalizableTextData=0.984293, MarkNames=0.016525, SerializeSummary=0.008412, SerializeNames=0.075117, SerializeGatherableTextData=0.064898, BuildExportMap=0.061292, SortExportsNonSeekfree=0.132501, SortExportsSeekfreeConstructor=0.005707, SortExportsSeekfreeInner=2.994638, SortExportsSeekfree=0.003606, BuildDependencyMap=0.016827, SerializeImportMap=0.006910, SerializeExportMap=0.009313, SerializeDependencyMap=0.002403, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.246972, SerializeExports=1.557562, SerializeBulkData=0.002705, MoveFile=3.520437, UnaccountedTime=0.173964, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_16, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=3.873769, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.118982, BlockTillAllRequestsFinished=0.002701, ResetLoadersForSaveUnMarkAllObjects=78.305588, TagPackageExports=2.954077, BeginCacheForCookedPlatformData=0.002403, SerializeImports=4.835829, GatherLocalizableTextData=33.728825, MarkNames=0.170659, SerializeSummary=0.044465, SerializeNames=1.039878, SerializeGatherableTextData=0.143319, BuildExportMap=1.436476, SortExportsNonSeekfree=1.689762, SortExportsSeekfreeConstructor=0.054080, SortExportsSeekfreeInner=41.921944, SortExportsSeekfree=0.007208, BuildDependencyMap=1.187701, SerializeImportMap=0.076015, SerializeExportMap=0.070307, SerializeDependencyMap=0.078421, SerializeStringAssetReferenceMap=0.004206, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.756979, SerializeExports=17.420706, SerializeBulkData=1040.013184, MoveFile=3.753889, UnaccountedTime=1.343939, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_17, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyController.uasset, AutoPackageBackupDelegate=3.992151, FlushAsyncLoading=0.002403, FlushStreamingFunc=0.153534, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.147223, TagPackageExports=1.203023, BeginCacheForCookedPlatformData=0.001501, SerializeImports=1.927722, GatherLocalizableTextData=1.158256, MarkNames=0.017427, SerializeSummary=0.008110, SerializeNames=0.081424, SerializeGatherableTextData=0.067301, BuildExportMap=0.064600, SortExportsNonSeekfree=0.151727, SortExportsSeekfreeConstructor=0.039060, SortExportsSeekfreeInner=3.120832, SortExportsSeekfree=0.002403, BuildDependencyMap=0.017729, SerializeImportMap=0.007212, SerializeExportMap=0.009313, SerializeDependencyMap=0.002701, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.333805, SerializeExports=1.843896, SerializeBulkData=0.003304, MoveFile=3.005758, UnaccountedTime=1.618553, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_18, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=3.599156, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.211220, BlockTillAllRequestsFinished=0.018027, ResetLoadersForSaveUnMarkAllObjects=70.463097, TagPackageExports=2.889179, BeginCacheForCookedPlatformData=0.001803, SerializeImports=4.654356, GatherLocalizableTextData=31.067387, MarkNames=0.112973, SerializeSummary=0.012919, SerializeNames=0.594601, SerializeGatherableTextData=0.049274, BuildExportMap=0.823550, SortExportsNonSeekfree=1.518201, SortExportsSeekfreeConstructor=0.041161, SortExportsSeekfreeInner=40.081951, SortExportsSeekfree=0.004809, BuildDependencyMap=0.180874, SerializeImportMap=0.074513, SerializeExportMap=0.070307, SerializeDependencyMap=0.030946, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.779295, SerializeExports=19.124289, SerializeBulkData=1010.322144, MoveFile=3.636710, UnaccountedTime=0.274617, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_19, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/FirstPersonGameMode.uasset, AutoPackageBackupDelegate=3.662251, FlushAsyncLoading=0.002403, FlushStreamingFunc=0.146925, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.344321, TagPackageExports=0.227746, BeginCacheForCookedPlatformData=0.001200, SerializeImports=0.851192, GatherLocalizableTextData=0.310972, MarkNames=0.009913, SerializeSummary=0.006910, SerializeNames=0.055585, SerializeGatherableTextData=0.003003, BuildExportMap=0.042967, SortExportsNonSeekfree=0.017725, SortExportsSeekfreeConstructor=0.038758, SortExportsSeekfreeInner=2.357975, SortExportsSeekfree=0.002105, BuildDependencyMap=0.009011, SerializeImportMap=0.005707, SerializeExportMap=0.005409, SerializeDependencyMap=0.002101, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.124089, SerializeExports=0.408620, SerializeBulkData=0.002705, MoveFile=1.443688, UnaccountedTime=1.349043, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_20, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyGameMode.uasset, AutoPackageBackupDelegate=0.135504, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.198603, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.171863, TagPackageExports=0.196498, BeginCacheForCookedPlatformData=0.000902, SerializeImports=0.785090, GatherLocalizableTextData=0.265904, MarkNames=0.009313, SerializeSummary=0.006910, SerializeNames=0.050776, SerializeGatherableTextData=0.003006, BuildExportMap=0.042062, SortExportsNonSeekfree=0.018328, SortExportsSeekfreeConstructor=0.039060, SortExportsSeekfreeInner=2.350762, SortExportsSeekfree=0.002105, BuildDependencyMap=0.008713, SerializeImportMap=0.006009, SerializeExportMap=0.005409, SerializeDependencyMap=0.001803, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.272512, SerializeExports=0.342220, SerializeBulkData=0.002705, MoveFile=0.947032, UnaccountedTime=1.279641, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
