CookerStat, GenerateAssetRegistry=0.039659, Initialize=0.175465, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_11, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.103794, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.185683, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.146322, TagPackageExports=94.038918, BeginCacheForCookedPlatformData=0.006311, SerializeImports=98.098984, GatherLocalizableTextData=67.155891, MarkNames=0.381581, SerializeSummary=0.015922, SerializeNames=0.740927, SerializeGatherableTextData=0.669718, BuildExportMap=0.880938, SortExportsNonSeekfree=30.043524, SortExportsSeekfreeConstructor=0.051379, SortExportsSeekfreeInner=118.279129, SortExportsSeekfree=0.006013, BuildDependencyMap=2.067439, SerializeImportMap=0.046570, SerializeExportMap=0.433858, SerializeDependencyMap=0.102155, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=23.098782, SerializeExports=131.171707, SerializeBulkData=0.010215, MoveFile=3.156595, UnaccountedTime=1.836389, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_12, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Maps/FirstPersonExampleMap_Auto1.umap, AutoPackageBackupDelegate=16.311771, FlushAsyncLoading=0.050776, FlushStreamingFunc=0.144519, BlockTillAllRequestsFinished=0.005111, ResetLoadersForSaveUnMarkAllObjects=58.101936, TagPackageExports=2.781022, BeginCacheForCookedPlatformData=0.001501, SerializeImports=3.987957, GatherLocalizableTextData=25.933586, MarkNames=0.142418, SerializeSummary=0.011716, SerializeNames=0.540521, SerializeGatherableTextData=0.043865, BuildExportMap=0.537217, SortExportsNonSeekfree=1.141433, SortExportsSeekfreeConstructor=0.041164, SortExportsSeekfreeInner=23.658232, SortExportsSeekfree=0.003003, BuildDependencyMap=0.138212, SerializeImportMap=0.058591, SerializeExportMap=0.059489, SerializeDependencyMap=0.013821, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.486655, SerializeExports=14.443536, SerializeBulkData=1030.554565, MoveFile=1.697276, UnaccountedTime=0.268608, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_13, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=10.763548, FlushAsyncLoading=0.003304, FlushStreamingFunc=0.111770, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=56.840324, TagPackageExports=2.456229, BeginCacheForCookedPlatformData=0.001501, SerializeImports=3.961217, GatherLocalizableTextData=25.845554, MarkNames=0.084426, SerializeSummary=0.010818, SerializeNames=0.554640, SerializeGatherableTextData=0.045069, BuildExportMap=0.491247, SortExportsNonSeekfree=1.142938, SortExportsSeekfreeConstructor=0.039957, SortExportsSeekfreeInner=23.644712, SortExportsSeekfree=0.003003, BuildDependencyMap=0.132803, SerializeImportMap=0.057988, SerializeExportMap=0.058286, SerializeDependencyMap=0.013519, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.532324, SerializeExports=14.958520, SerializeBulkData=1016.293152, MoveFile=3.988858, UnaccountedTime=1.300074, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_14, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.688184, FlushAsyncLoading=0.003904, FlushStreamingFunc=0.145722, BlockTillAllRequestsFinished=0.005707, ResetLoadersForSaveUnMarkAllObjects=0.167057, TagPackageExports=91.466408, BeginCacheForCookedPlatformData=0.005409, SerializeImports=96.815735, GatherLocalizableTextData=66.522827, MarkNames=0.402611, SerializeSummary=0.016525, SerializeNames=0.756849, SerializeGatherableTextData=0.673022, BuildExportMap=0.858102, SortExportsNonSeekfree=29.579624, SortExportsSeekfreeConstructor=0.051979, SortExportsSeekfreeInner=112.604416, SortExportsSeekfree=0.006609, BuildDependencyMap=1.747452, SerializeImportMap=0.046570, SerializeExportMap=0.529103, SerializeDependencyMap=0.105757, SerializeStringAssetReferenceMap=0.002705, SaveThumbNailsAssetRegistryDataWorldLevelInfo=20.837847, SerializeExports=131.258835, SerializeBulkData=0.010218, MoveFile=3.253941, UnaccountedTime=1.832183, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_15, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=5.452682, FlushAsyncLoading=0.004809, FlushStreamingFunc=0.199500, BlockTillAllRequestsFinished=0.005107, ResetLoadersForSaveUnMarkAllObjects=0.249080, TagPackageExports=95.594978, BeginCacheForCookedPlatformData=0.005107, SerializeImports=100.715958, GatherLocalizableTextData=67.738777, MarkNames=0.415530, SerializeSummary=0.054382, SerializeNames=0.779085, SerializeGatherableTextData=0.646580, BuildExportMap=0.862010, SortExportsNonSeekfree=29.063740, SortExportsSeekfreeConstructor=0.822049, SortExportsSeekfreeInner=111.869194, SortExportsSeekfree=0.007208, BuildDependencyMap=0.811834, SerializeImportMap=0.079621, SerializeExportMap=0.413727, SerializeDependencyMap=0.095844, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=21.080616, SerializeExports=133.659485, SerializeBulkData=0.010218, MoveFile=3.197156, UnaccountedTime=1.884162, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_16, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=3.611784, FlushAsyncLoading=0.003606, FlushStreamingFunc=0.170060, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.149626, TagPackageExports=92.234375, BeginCacheForCookedPlatformData=0.005707, SerializeImports=98.015152, GatherLocalizableTextData=66.055016, MarkNames=0.434458, SerializeSummary=0.016227, SerializeNames=0.753544, SerializeGatherableTextData=0.624046, BuildExportMap=0.979789, SortExportsNonSeekfree=29.854239, SortExportsSeekfreeConstructor=0.051979, SortExportsSeekfreeInner=113.168068, SortExportsSeekfree=0.006311, BuildDependencyMap=1.794625, SerializeImportMap=0.046268, SerializeExportMap=0.443473, SerializeDependencyMap=0.105761, SerializeStringAssetReferenceMap=0.002701, SaveThumbNailsAssetRegistryDataWorldLevelInfo=20.942406, SerializeExports=130.524536, SerializeBulkData=0.010215, MoveFile=2.587531, UnaccountedTime=2.161484, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_17, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.490181, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.121683, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.152931, TagPackageExports=95.373245, BeginCacheForCookedPlatformData=0.006009, SerializeImports=97.109283, GatherLocalizableTextData=67.930168, MarkNames=0.402611, SerializeSummary=0.015926, SerializeNames=0.735816, SerializeGatherableTextData=0.688046, BuildExportMap=0.953346, SortExportsNonSeekfree=30.370426, SortExportsSeekfreeConstructor=0.053782, SortExportsSeekfreeInner=111.729485, SortExportsSeekfree=0.006307, BuildDependencyMap=1.792524, SerializeImportMap=0.047773, SerializeExportMap=0.414930, SerializeDependencyMap=0.098553, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=20.250156, SerializeExports=128.080017, SerializeBulkData=0.010815, MoveFile=2.905112, UnaccountedTime=2.201445, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_18, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.088469, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.097949, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.142418, TagPackageExports=92.124710, BeginCacheForCookedPlatformData=0.006311, SerializeImports=99.458542, GatherLocalizableTextData=66.621979, MarkNames=0.439867, SerializeSummary=0.016224, SerializeNames=0.758052, SerializeGatherableTextData=0.686843, BuildExportMap=0.907376, SortExportsNonSeekfree=29.991251, SortExportsSeekfreeConstructor=0.052277, SortExportsSeekfreeInner=116.297623, SortExportsSeekfree=0.007212, BuildDependencyMap=1.877550, SerializeImportMap=0.045970, SerializeExportMap=0.412829, SerializeDependencyMap=0.102457, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=22.551950, SerializeExports=133.447067, SerializeBulkData=0.010815, MoveFile=3.150582, UnaccountedTime=1.859825, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_19, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.109803, FlushAsyncLoading=0.003606, FlushStreamingFunc=0.102755, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.144221, TagPackageExports=91.808929, BeginCacheForCookedPlatformData=0.006009, SerializeImports=100.091614, GatherLocalizableTextData=66.974113, MarkNames=0.389691, SerializeSummary=0.037257, SerializeNames=0.757750, SerializeGatherableTextData=0.649288, BuildExportMap=0.930212, SortExportsNonSeekfree=29.267147, SortExportsSeekfreeConstructor=0.060990, SortExportsSeekfreeInner=116.989876, SortExportsSeekfree=0.006910, BuildDependencyMap=1.711100, SerializeImportMap=0.046570, SerializeExportMap=0.451587, SerializeDependencyMap=0.122584, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=21.007906, SerializeExports=128.441467, SerializeBulkData=0.010215, MoveFile=2.419576, UnaccountedTime=1.823768, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_20, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.380218, FlushAsyncLoading=0.003904, FlushStreamingFunc=0.120483, BlockTillAllRequestsFinished=0.004806, ResetLoadersForSaveUnMarkAllObjects=0.158343, TagPackageExports=97.305473, BeginCacheForCookedPlatformData=0.005707, SerializeImports=104.812683, GatherLocalizableTextData=70.654099, MarkNames=0.527900, SerializeSummary=0.016827, SerializeNames=0.777282, SerializeGatherableTextData=0.797108, BuildExportMap=1.006231, SortExportsNonSeekfree=31.260073, SortExportsSeekfreeConstructor=0.733413, SortExportsSeekfreeInner=123.145920, SortExportsSeekfree=0.007510, BuildDependencyMap=0.875529, SerializeImportMap=0.075415, SerializeExportMap=0.493649, SerializeDependencyMap=0.201307, SerializeStringAssetReferenceMap=0.003304, SaveThumbNailsAssetRegistryDataWorldLevelInfo=25.718161, SerializeExports=141.260727, SerializeBulkData=0.010215, MoveFile=2.058126, UnaccountedTime=2.022672, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
