CookerStat, GenerateAssetRegistry=0.299547, Initialize=38.830849, RunGuid=RunIDB89FB779465A8AF6DE7365926F272CE9
SavePackageTransactionId18B99BAC4F3089AC073919AF78CB2574_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/RangeWeapon.uasset, AutoPackageBackupDelegate=76.787086, FlushAsyncLoading=0.029445, FlushStreamingFunc=0.175461, BlockTillAllRequestsFinished=0.007212, ResetLoadersForSaveUnMarkAllObjects=0.519473, TagPackageExports=23.003527, BeginCacheForCookedPlatformData=0.005107, SerializeImports=25.352736, GatherLocalizableTextData=18.770210, MarkNames=0.145718, SerializeSummary=0.014119, SerializeNames=0.359036, SerializeGatherableTextData=0.131298, BuildExportMap=0.403199, SortExportsNonSeekfree=7.090881, SortExportsSeekfreeConstructor=0.054084, SortExportsSeekfreeInner=26.806303, SortExportsSeekfree=0.020429, BuildDependencyMap=1.178659, SerializeImportMap=0.028539, SerializeExportMap=0.123788, SerializeDependencyMap=0.027642, SerializeStringAssetReferenceMap=0.004504, SaveThumbNailsAssetRegistryDataWorldLevelInfo=21.877148, SerializeExports=34.461124, SerializeBulkData=0.054084, MoveFile=8.926921, UnaccountedTime=1.403093, RunGuid=RunIDB89FB779465A8AF6DE7365926F272CE9
SavePackageTransactionId18B99BAC4F3089AC073919AF78CB2574_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=450.432770, FlushAsyncLoading=0.010516, FlushStreamingFunc=0.151124, BlockTillAllRequestsFinished=0.005409, ResetLoadersForSaveUnMarkAllObjects=565.439880, TagPackageExports=2.861470, BeginCacheForCookedPlatformData=0.008114, SerializeImports=3.913339, GatherLocalizableTextData=22.133429, MarkNames=0.107560, SerializeSummary=0.013523, SerializeNames=0.638150, SerializeGatherableTextData=0.074212, BuildExportMap=0.402302, SortExportsNonSeekfree=1.029033, SortExportsSeekfreeConstructor=0.047471, SortExportsSeekfreeInner=19.238911, SortExportsSeekfree=0.003003, BuildDependencyMap=0.141814, SerializeImportMap=0.050776, SerializeExportMap=0.049572, SerializeDependencyMap=0.073306, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.364637, SerializeExports=15.161526, SerializeBulkData=1055.296631, MoveFile=3.853854, UnaccountedTime=1.443353, RunGuid=RunIDB89FB779465A8AF6DE7365926F272CE9
SavePackageTransactionId18B99BAC4F3089AC073919AF78CB2574_2, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/RangeWeapon.uasset, AutoPackageBackupDelegate=3.292613, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.197995, BlockTillAllRequestsFinished=0.004806, ResetLoadersForSaveUnMarkAllObjects=0.173058, TagPackageExports=21.074350, BeginCacheForCookedPlatformData=0.018027, SerializeImports=26.267298, GatherLocalizableTextData=18.901207, MarkNames=0.164948, SerializeSummary=0.012919, SerializeNames=0.373457, SerializeGatherableTextData=0.138205, BuildExportMap=0.393588, SortExportsNonSeekfree=6.583426, SortExportsSeekfreeConstructor=0.046570, SortExportsSeekfreeInner=26.065697, SortExportsSeekfree=0.012618, BuildDependencyMap=0.245467, SerializeImportMap=0.027340, SerializeExportMap=0.153828, SerializeDependencyMap=0.026438, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.718048, SerializeExports=33.716614, SerializeBulkData=0.009615, MoveFile=2.513252, UnaccountedTime=1.502242, RunGuid=RunIDB89FB779465A8AF6DE7365926F272CE9
SavePackageTransactionId18B99BAC4F3089AC073919AF78CB2574_3, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=3.471382, FlushAsyncLoading=0.004508, FlushStreamingFunc=0.109661, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=53.587673, TagPackageExports=2.157219, BeginCacheForCookedPlatformData=0.001803, SerializeImports=3.579240, GatherLocalizableTextData=22.546549, MarkNames=0.117473, SerializeSummary=0.013519, SerializeNames=0.517674, SerializeGatherableTextData=0.025839, BuildExportMap=0.414018, SortExportsNonSeekfree=0.992682, SortExportsSeekfreeConstructor=0.046570, SortExportsSeekfreeInner=19.887577, SortExportsSeekfree=0.005707, BuildDependencyMap=0.139408, SerializeImportMap=0.051975, SerializeExportMap=0.049576, SerializeDependencyMap=0.027038, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.373351, SerializeExports=13.889727, SerializeBulkData=1054.954468, MoveFile=4.234217, UnaccountedTime=1.450267, RunGuid=RunIDB89FB779465A8AF6DE7365926F272CE9
SavePackageTransactionId18B99BAC4F3089AC073919AF78CB2574_4, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/RangeWeapon.uasset, AutoPackageBackupDelegate=3.268577, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.137605, BlockTillAllRequestsFinished=0.004210, ResetLoadersForSaveUnMarkAllObjects=0.148118, TagPackageExports=23.322304, BeginCacheForCookedPlatformData=0.004809, SerializeImports=24.421341, GatherLocalizableTextData=18.359200, MarkNames=0.162240, SerializeSummary=0.011418, SerializeNames=0.378564, SerializeGatherableTextData=0.133101, BuildExportMap=0.350323, SortExportsNonSeekfree=6.774209, SortExportsSeekfreeConstructor=0.051975, SortExportsSeekfreeInner=26.543715, SortExportsSeekfree=0.007208, BuildDependencyMap=0.216324, SerializeImportMap=0.025537, SerializeExportMap=0.119578, SerializeDependencyMap=0.025537, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.833719, SerializeExports=31.972214, SerializeBulkData=0.010215, MoveFile=2.629224, UnaccountedTime=2.166532, RunGuid=RunIDB89FB779465A8AF6DE7365926F272CE9
SavePackageTransactionId18B99BAC4F3089AC073919AF78CB2574_5, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/RangeWeapon.uasset, AutoPackageBackupDelegate=3.264673, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.097647, BlockTillAllRequestsFinished=0.002403, ResetLoadersForSaveUnMarkAllObjects=0.132799, TagPackageExports=21.036192, BeginCacheForCookedPlatformData=0.005107, SerializeImports=23.899164, GatherLocalizableTextData=18.766603, MarkNames=0.140309, SerializeSummary=0.011720, SerializeNames=0.351522, SerializeGatherableTextData=0.134002, BuildExportMap=0.389982, SortExportsNonSeekfree=6.386630, SortExportsSeekfreeConstructor=0.045966, SortExportsSeekfreeInner=25.252085, SortExportsSeekfree=0.006910, BuildDependencyMap=0.219628, SerializeImportMap=0.024337, SerializeExportMap=0.117473, SerializeDependencyMap=0.024036, SerializeStringAssetReferenceMap=0.002705, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.721956, SerializeExports=31.100609, SerializeBulkData=0.008114, MoveFile=11.514384, UnaccountedTime=1.712255, RunGuid=RunIDB89FB779465A8AF6DE7365926F272CE9
SavePackageTransactionId18B99BAC4F3089AC073919AF78CB2574_6, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/WeaponKremenPistol_2.uasset, AutoPackageBackupDelegate=4.340876, FlushAsyncLoading=0.003606, FlushStreamingFunc=0.145417, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.145718, TagPackageExports=5.703412, BeginCacheForCookedPlatformData=0.002101, SerializeImports=6.534751, GatherLocalizableTextData=5.564906, MarkNames=0.096444, SerializeSummary=0.010815, SerializeNames=0.231948, SerializeGatherableTextData=0.064898, BuildExportMap=0.167347, SortExportsNonSeekfree=1.317166, SortExportsSeekfreeConstructor=0.038758, SortExportsSeekfreeInner=9.443093, SortExportsSeekfree=0.003606, BuildDependencyMap=0.058286, SerializeImportMap=0.025839, SerializeExportMap=0.035755, SerializeDependencyMap=0.009313, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.495586, SerializeExports=8.145757, SerializeBulkData=0.004806, MoveFile=2.152111, UnaccountedTime=1.414809, RunGuid=RunIDB89FB779465A8AF6DE7365926F272CE9
SavePackageTransactionId18B99BAC4F3089AC073919AF78CB2574_7, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=3.611390, FlushAsyncLoading=0.004206, FlushStreamingFunc=0.080820, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=49.550846, TagPackageExports=2.156619, BeginCacheForCookedPlatformData=0.001803, SerializeImports=3.706031, GatherLocalizableTextData=22.606638, MarkNames=0.108160, SerializeSummary=0.012919, SerializeNames=0.420026, SerializeGatherableTextData=0.022534, BuildExportMap=0.420626, SortExportsNonSeekfree=1.069296, SortExportsSeekfreeConstructor=0.047170, SortExportsSeekfreeInner=19.664045, SortExportsSeekfree=0.004809, BuildDependencyMap=0.175159, SerializeImportMap=0.054382, SerializeExportMap=0.064597, SerializeDependencyMap=0.011716, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.471598, SerializeExports=25.308565, SerializeBulkData=1064.728882, MoveFile=4.488997, UnaccountedTime=1.419317, RunGuid=RunIDB89FB779465A8AF6DE7365926F272CE9
SavePackageTransactionId18B99BAC4F3089AC073919AF78CB2574_8, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/WeaponKremenPistol_2.uasset, AutoPackageBackupDelegate=4.920743, FlushAsyncLoading=0.003304, FlushStreamingFunc=0.116874, BlockTillAllRequestsFinished=0.003304, ResetLoadersForSaveUnMarkAllObjects=0.142112, TagPackageExports=5.990639, BeginCacheForCookedPlatformData=0.015926, SerializeImports=6.381523, GatherLocalizableTextData=5.634308, MarkNames=0.041761, SerializeSummary=0.012320, SerializeNames=0.282723, SerializeGatherableTextData=0.066698, BuildExportMap=0.154432, SortExportsNonSeekfree=1.142003, SortExportsSeekfreeConstructor=0.043266, SortExportsSeekfreeInner=8.557972, SortExportsSeekfree=0.004206, BuildDependencyMap=0.056785, SerializeImportMap=0.012919, SerializeExportMap=0.031248, SerializeDependencyMap=0.006609, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.162690, SerializeExports=7.635593, SerializeBulkData=0.018928, MoveFile=1.729980, UnaccountedTime=1.480911, RunGuid=RunIDB89FB779465A8AF6DE7365926F272CE9
SavePackageTransactionId18B99BAC4F3089AC073919AF78CB2574_9, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=3.406186, FlushAsyncLoading=0.002701, FlushStreamingFunc=0.099450, BlockTillAllRequestsFinished=0.002403, ResetLoadersForSaveUnMarkAllObjects=52.392487, TagPackageExports=2.230529, BeginCacheForCookedPlatformData=0.002403, SerializeImports=3.662165, GatherLocalizableTextData=22.453711, MarkNames=0.118975, SerializeSummary=0.013821, SerializeNames=0.498146, SerializeGatherableTextData=0.026137, BuildExportMap=0.443764, SortExportsNonSeekfree=0.980061, SortExportsSeekfreeConstructor=0.047471, SortExportsSeekfreeInner=18.858843, SortExportsSeekfree=0.004508, BuildDependencyMap=0.120182, SerializeImportMap=0.057388, SerializeExportMap=0.050776, SerializeDependencyMap=0.012919, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.474000, SerializeExports=13.674908, SerializeBulkData=1054.601318, MoveFile=4.724849, UnaccountedTime=1.451168, RunGuid=RunIDB89FB779465A8AF6DE7365926F272CE9
