CookerStat, GenerateAssetRegistry=0.027940, Initialize=0.163145, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionIdC071E400405882B328F5D7857DE46CCB_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B00DA917426ABF19FD3A078CE2EA4D5D__1_0_13123_0, StartTime=2017.11.19-15.43.56, HierarchicalDDC=, DataSize=458, Duration=45.910088, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId5F18F682468E9109A59AD3A7391EB8C4_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C096FE004F7E19CAFA5561B850E2D8CE__1_0_13123_0, StartTime=2017.11.19-15.43.56, HierarchicalDDC=, DataSize=458, Duration=17.672031, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId048C0DAD4C3C1D576AF400A275159764_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_83975EF04168A2DB944FE08345063782__1_0_13123_0, StartTime=2017.11.19-15.43.56, HierarchicalDDC=, DataSize=17565, Duration=1.473118, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId5F18F682468E9109A59AD3A7391EB8C4_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D7C1955748C7EDD6906B4AB07F462B72__1_0_13123_0, StartTime=2017.11.19-15.43.56, HierarchicalDDC=, DataSize=3133, Duration=1.784388, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId048C0DAD4C3C1D576AF400A275159764_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A63E8D53433D50688D2874BF3E7C7AD6__1_0_13123_0, StartTime=2017.11.19-15.44.00, HierarchicalDDC=, DataSize=458, Duration=1.598407, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId5F18F682468E9109A59AD3A7391EB8C4_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8C4422BF486ACF0795B5FFBDF937E389__1_0_13123_0, StartTime=2017.11.19-15.44.00, HierarchicalDDC=, DataSize=458, Duration=1.498058, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionIdC071E400405882B328F5D7857DE46CCB_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EDCDF39E4BAEF0E5EAEAA48E13C8032C__1_0_13123_0, StartTime=2017.11.19-15.44.00, HierarchicalDDC=, DataSize=458, Duration=20.708710, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId048C0DAD4C3C1D576AF400A275159764_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8C723B2345AE19C9719551A69F1C2E1C__1_0_13123_0, StartTime=2017.11.19-15.44.00, HierarchicalDDC=, DataSize=17565, Duration=1.494452, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId5F18F682468E9109A59AD3A7391EB8C4_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_55FC358C496498DCBE07F3B855300F31__1_0_13123_0, StartTime=2017.11.19-15.44.00, HierarchicalDDC=, DataSize=2685, Duration=1.781084, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionIdC071E400405882B328F5D7857DE46CCB_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_676709D84174E393FCCA5D856727BB7F__1_0_13123_0, StartTime=2017.11.19-15.44.03, HierarchicalDDC=, DataSize=458, Duration=36.575020, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId048C0DAD4C3C1D576AF400A275159764_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B2C16A7C432BD66978C51F9850BDBF86__1_0_13123_0, StartTime=2017.11.19-15.44.03, HierarchicalDDC=, DataSize=458, Duration=1.425050, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId5F18F682468E9109A59AD3A7391EB8C4_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8FCF326F4E4930D0C5DA1BA654B32BCF__1_0_13123_0, StartTime=2017.11.19-15.44.03, HierarchicalDDC=, DataSize=458, Duration=1.613732, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId048C0DAD4C3C1D576AF400A275159764_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_98328065446E85D0754117A173347BA6__1_0_13123_0, StartTime=2017.11.19-15.44.04, HierarchicalDDC=, DataSize=17565, Duration=1.614030, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId5F18F682468E9109A59AD3A7391EB8C4_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F63CC77B4FF2B15D8279798EF4A43838__1_0_13123_0, StartTime=2017.11.19-15.44.04, HierarchicalDDC=, DataSize=3765, Duration=1.808725, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId048C0DAD4C3C1D576AF400A275159764_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_96E512344D9181C61B50569DD6E16643__1_0_13123_0, StartTime=2017.11.19-15.44.06, HierarchicalDDC=, DataSize=458, Duration=2.160858, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId5F18F682468E9109A59AD3A7391EB8C4_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8A8952FF4B0A81F0AC09B785887F5FD4__1_0_13123_0, StartTime=2017.11.19-15.44.06, HierarchicalDDC=, DataSize=458, Duration=29.937416, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionIdC071E400405882B328F5D7857DE46CCB_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FFC33E5A4BBDCE85216633BB57170475__1_0_13123_0, StartTime=2017.11.19-15.44.06, HierarchicalDDC=, DataSize=458, Duration=39.156811, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId048C0DAD4C3C1D576AF400A275159764_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B79E049C4E5B6A2091A41999C6468F02__1_0_13123_0, StartTime=2017.11.19-15.44.06, HierarchicalDDC=, DataSize=17565, Duration=1.577981, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId048C0DAD4C3C1D576AF400A275159764_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9295BE8144BF9DD246B9BCB2565C69E6__1_0_13123_0, StartTime=2017.11.19-15.44.06, HierarchicalDDC=, DataSize=3857, Duration=1.753144, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
SavePackageTransactionId1EC7D6324C5E660D24E7E4A4B4E669D6_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=20.968903, FlushAsyncLoading=0.023134, FlushStreamingFunc=0.080820, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=33.800636, TagPackageExports=2.403021, BeginCacheForCookedPlatformData=0.002101, SerializeImports=4.397128, GatherLocalizableTextData=22.771318, MarkNames=0.097346, SerializeSummary=0.015024, SerializeNames=0.466902, SerializeGatherableTextData=0.028543, BuildExportMap=0.377670, SortExportsNonSeekfree=0.997201, SortExportsSeekfreeConstructor=0.047475, SortExportsSeekfreeInner=18.468830, SortExportsSeekfree=0.003304, BuildDependencyMap=0.114772, SerializeImportMap=0.050776, SerializeExportMap=0.049274, SerializeDependencyMap=0.009615, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.296751, SerializeExports=13.570852, SerializeBulkData=1031.329956, MoveFile=4.167281, UnaccountedTime=1.440067, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
SavePackageTransactionId1EC7D6324C5E660D24E7E4A4B4E669D6_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=24.038029, FlushAsyncLoading=0.016525, FlushStreamingFunc=0.115972, BlockTillAllRequestsFinished=0.018630, ResetLoadersForSaveUnMarkAllObjects=35.506310, TagPackageExports=2.340227, BeginCacheForCookedPlatformData=0.002407, SerializeImports=4.095170, GatherLocalizableTextData=21.536455, MarkNames=0.082023, SerializeSummary=0.012919, SerializeNames=0.476517, SerializeGatherableTextData=0.026442, BuildExportMap=0.427544, SortExportsNonSeekfree=0.993896, SortExportsSeekfreeConstructor=0.041764, SortExportsSeekfreeInner=18.646999, SortExportsSeekfree=0.003304, BuildDependencyMap=0.175465, SerializeImportMap=0.049576, SerializeExportMap=0.050474, SerializeDependencyMap=0.009313, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.265507, SerializeExports=13.671201, SerializeBulkData=1025.792969, MoveFile=3.769480, UnaccountedTime=0.223540, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
