CookerStat, GenerateAssetRegistry=0.018328, Initialize=0.109069, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_11, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=3.720026, FlushAsyncLoading=0.003606, FlushStreamingFunc=0.221439, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.149030, TagPackageExports=50.199162, BeginCacheForCookedPlatformData=0.005107, SerializeImports=51.449688, GatherLocalizableTextData=31.569590, MarkNames=0.160746, SerializeSummary=0.011418, SerializeNames=0.397813, SerializeGatherableTextData=0.308875, BuildExportMap=0.331111, SortExportsNonSeekfree=11.012849, SortExportsSeekfreeConstructor=0.897784, SortExportsSeekfreeInner=48.255470, SortExportsSeekfree=0.005107, BuildDependencyMap=0.408929, SerializeImportMap=0.020731, SerializeExportMap=0.207320, SerializeDependencyMap=0.041161, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.689798, SerializeExports=63.394569, SerializeBulkData=0.007514, MoveFile=2.762452, UnaccountedTime=1.748390, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_12, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=8.847717, FlushAsyncLoading=0.012919, FlushStreamingFunc=0.205517, BlockTillAllRequestsFinished=0.010215, ResetLoadersForSaveUnMarkAllObjects=0.433870, TagPackageExports=55.849056, BeginCacheForCookedPlatformData=0.005111, SerializeImports=55.395660, GatherLocalizableTextData=34.748177, MarkNames=1.526352, SerializeSummary=0.037257, SerializeNames=0.507180, SerializeGatherableTextData=0.351243, BuildExportMap=0.630971, SortExportsNonSeekfree=11.875477, SortExportsSeekfreeConstructor=0.067905, SortExportsSeekfreeInner=51.756458, SortExportsSeekfree=0.004508, BuildDependencyMap=0.370171, SerializeImportMap=0.057992, SerializeExportMap=0.275221, SerializeDependencyMap=0.046272, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.432539, SerializeExports=71.259476, SerializeBulkData=0.022836, MoveFile=3.404841, UnaccountedTime=1.742084, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_13, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=3.564689, FlushAsyncLoading=0.002403, FlushStreamingFunc=0.136711, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.144225, TagPackageExports=55.745098, BeginCacheForCookedPlatformData=0.004504, SerializeImports=53.109741, GatherLocalizableTextData=33.985306, MarkNames=1.596060, SerializeSummary=0.046570, SerializeNames=0.549845, SerializeGatherableTextData=0.580195, BuildExportMap=0.964783, SortExportsNonSeekfree=10.952156, SortExportsSeekfreeConstructor=0.059493, SortExportsSeekfreeInner=51.730316, SortExportsSeekfree=0.007812, BuildDependencyMap=0.359356, SerializeImportMap=0.021033, SerializeExportMap=0.214528, SerializeDependencyMap=0.042964, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.297333, SerializeExports=68.545097, SerializeBulkData=0.007212, MoveFile=2.497446, UnaccountedTime=1.552489, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_14, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=3.656328, FlushAsyncLoading=0.003606, FlushStreamingFunc=0.207320, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.147525, TagPackageExports=53.793594, BeginCacheForCookedPlatformData=0.005107, SerializeImports=55.684704, GatherLocalizableTextData=35.204582, MarkNames=1.315124, SerializeSummary=0.020131, SerializeNames=0.476234, SerializeGatherableTextData=0.371370, BuildExportMap=0.412837, SortExportsNonSeekfree=11.079554, SortExportsSeekfreeConstructor=0.051379, SortExportsSeekfreeInner=52.117912, SortExportsSeekfree=0.006609, BuildDependencyMap=0.436872, SerializeImportMap=0.020731, SerializeExportMap=0.244275, SerializeDependencyMap=0.075117, SerializeStringAssetReferenceMap=0.006009, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.365173, SerializeExports=71.826454, SerializeBulkData=0.006910, MoveFile=1.568716, UnaccountedTime=2.378460, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_15, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Maps/FirstPersonExampleMap_Auto4.umap, AutoPackageBackupDelegate=64.514091, FlushAsyncLoading=0.012919, FlushStreamingFunc=0.064000, BlockTillAllRequestsFinished=0.006009, ResetLoadersForSaveUnMarkAllObjects=85.886589, TagPackageExports=3.075533, BeginCacheForCookedPlatformData=0.001803, SerializeImports=5.580489, GatherLocalizableTextData=35.442551, MarkNames=0.169162, SerializeSummary=0.014722, SerializeNames=0.744544, SerializeGatherableTextData=0.111472, BuildExportMap=0.803739, SortExportsNonSeekfree=1.413375, SortExportsSeekfreeConstructor=0.069708, SortExportsSeekfreeInner=44.324516, SortExportsSeekfree=0.006910, BuildDependencyMap=0.213932, SerializeImportMap=0.080824, SerializeExportMap=0.072714, SerializeDependencyMap=0.031851, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.854155, SerializeExports=19.332952, SerializeBulkData=1091.037109, MoveFile=1.876987, UnaccountedTime=0.302866, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_16, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=3.481757, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.220843, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.144221, TagPackageExports=50.722267, BeginCacheForCookedPlatformData=0.005107, SerializeImports=51.053379, GatherLocalizableTextData=33.046059, MarkNames=0.220839, SerializeSummary=0.013221, SerializeNames=0.399314, SerializeGatherableTextData=0.376180, BuildExportMap=0.340123, SortExportsNonSeekfree=10.808538, SortExportsSeekfreeConstructor=0.818159, SortExportsSeekfreeInner=48.494335, SortExportsSeekfree=0.004809, BuildDependencyMap=0.394806, SerializeImportMap=0.021033, SerializeExportMap=0.209119, SerializeDependencyMap=0.066701, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=20.288124, SerializeExports=67.762993, SerializeBulkData=0.007514, MoveFile=2.596296, UnaccountedTime=1.566313, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_17, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=3.619969, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.082929, BlockTillAllRequestsFinished=0.003602, ResetLoadersForSaveUnMarkAllObjects=0.140619, TagPackageExports=55.515244, BeginCacheForCookedPlatformData=0.004508, SerializeImports=52.780731, GatherLocalizableTextData=34.125324, MarkNames=1.001742, SerializeSummary=0.018328, SerializeNames=0.472926, SerializeGatherableTextData=0.326306, BuildExportMap=0.384890, SortExportsNonSeekfree=11.534452, SortExportsSeekfreeConstructor=0.017427, SortExportsSeekfreeInner=47.434608, SortExportsSeekfree=0.004504, BuildDependencyMap=0.405926, SerializeImportMap=0.021033, SerializeExportMap=0.203412, SerializeDependencyMap=0.055887, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.422084, SerializeExports=65.660355, SerializeBulkData=0.006009, MoveFile=2.944831, UnaccountedTime=2.188269, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_18, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem.uasset, AutoPackageBackupDelegate=23.819458, FlushAsyncLoading=0.029746, FlushStreamingFunc=0.193801, BlockTillAllRequestsFinished=0.006009, ResetLoadersForSaveUnMarkAllObjects=0.319991, TagPackageExports=23.323099, BeginCacheForCookedPlatformData=0.005707, SerializeImports=25.783886, GatherLocalizableTextData=16.859848, MarkNames=0.116277, SerializeSummary=0.012621, SerializeNames=0.334714, SerializeGatherableTextData=0.139717, BuildExportMap=0.242472, SortExportsNonSeekfree=5.507477, SortExportsSeekfreeConstructor=0.045672, SortExportsSeekfreeInner=24.500906, SortExportsSeekfree=0.007212, BuildDependencyMap=0.193797, SerializeImportMap=0.019230, SerializeExportMap=0.149332, SerializeDependencyMap=0.024635, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=22.248640, SerializeExports=33.450184, SerializeBulkData=0.008713, MoveFile=3.274739, UnaccountedTime=1.427498, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_19, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem.uasset, AutoPackageBackupDelegate=3.727235, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.139114, BlockTillAllRequestsFinished=0.005107, ResetLoadersForSaveUnMarkAllObjects=0.144523, TagPackageExports=23.118183, BeginCacheForCookedPlatformData=0.006009, SerializeImports=23.984112, GatherLocalizableTextData=16.858347, MarkNames=0.097353, SerializeSummary=0.012018, SerializeNames=0.359654, SerializeGatherableTextData=0.132803, BuildExportMap=0.239767, SortExportsNonSeekfree=5.328704, SortExportsSeekfreeConstructor=0.039961, SortExportsSeekfreeInner=23.799627, SortExportsSeekfree=0.006612, BuildDependencyMap=0.210024, SerializeImportMap=0.018027, SerializeExportMap=0.116881, SerializeDependencyMap=0.024036, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.348056, SerializeExports=31.232470, SerializeBulkData=0.009615, MoveFile=2.206594, UnaccountedTime=1.422692, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_20, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=32.964634, FlushAsyncLoading=0.011116, FlushStreamingFunc=0.098251, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=80.118614, TagPackageExports=3.000718, BeginCacheForCookedPlatformData=0.002105, SerializeImports=4.793577, GatherLocalizableTextData=32.140171, MarkNames=0.141516, SerializeSummary=0.013821, SerializeNames=0.587106, SerializeGatherableTextData=0.054982, BuildExportMap=0.785712, SortExportsNonSeekfree=1.520939, SortExportsSeekfreeConstructor=0.044469, SortExportsSeekfreeInner=41.757366, SortExportsSeekfree=0.005107, BuildDependencyMap=1.093686, SerializeImportMap=0.074815, SerializeExportMap=0.071511, SerializeDependencyMap=0.042964, SerializeStringAssetReferenceMap=0.006910, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.468001, SerializeExports=17.120647, SerializeBulkData=1052.760620, MoveFile=3.591727, UnaccountedTime=1.398053, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
