CookerStat, GenerateAssetRegistry=0.021033, Initialize=0.117179, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_11, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=2.717935, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.102155, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=0.132803, TagPackageExports=17.199673, BeginCacheForCookedPlatformData=0.002701, SerializeImports=18.733208, GatherLocalizableTextData=12.916055, MarkNames=0.076316, SerializeSummary=0.009917, SerializeNames=0.284232, SerializeGatherableTextData=0.131901, BuildExportMap=0.225641, SortExportsNonSeekfree=4.067291, SortExportsSeekfreeConstructor=0.043266, SortExportsSeekfreeInner=18.274710, SortExportsSeekfree=0.004206, BuildDependencyMap=0.155337, SerializeImportMap=0.017125, SerializeExportMap=0.085328, SerializeDependencyMap=0.021331, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.767511, SerializeExports=26.035820, SerializeBulkData=0.008114, MoveFile=3.433928, UnaccountedTime=2.001945, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_12, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=3.057454, FlushAsyncLoading=0.004508, FlushStreamingFunc=0.153832, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.193793, TagPackageExports=17.383852, BeginCacheForCookedPlatformData=0.003606, SerializeImports=19.427565, GatherLocalizableTextData=12.759216, MarkNames=0.075717, SerializeSummary=0.011116, SerializeNames=0.330802, SerializeGatherableTextData=0.136107, BuildExportMap=0.228949, SortExportsNonSeekfree=4.130684, SortExportsSeekfreeConstructor=0.040565, SortExportsSeekfreeInner=18.232944, SortExportsSeekfree=0.004206, BuildDependencyMap=0.194393, SerializeImportMap=0.019230, SerializeExportMap=0.085328, SerializeDependencyMap=0.021033, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.513927, SerializeExports=25.585733, SerializeBulkData=0.006910, MoveFile=2.822798, UnaccountedTime=1.802143, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_13, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=4.399296, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.072110, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.142116, TagPackageExports=18.384378, BeginCacheForCookedPlatformData=0.003304, SerializeImports=19.139122, GatherLocalizableTextData=12.688611, MarkNames=0.073910, SerializeSummary=0.009917, SerializeNames=0.290841, SerializeGatherableTextData=0.134606, BuildExportMap=0.259597, SortExportsNonSeekfree=4.389379, SortExportsSeekfreeConstructor=0.041161, SortExportsSeekfreeInner=18.384676, SortExportsSeekfree=0.004508, BuildDependencyMap=0.193495, SerializeImportMap=0.017725, SerializeExportMap=0.085030, SerializeDependencyMap=0.020731, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.493493, SerializeExports=25.358587, SerializeBulkData=0.007514, MoveFile=1.481555, UnaccountedTime=1.472540, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_14, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=3.991876, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.066098, BlockTillAllRequestsFinished=0.005107, ResetLoadersForSaveUnMarkAllObjects=0.157140, TagPackageExports=17.439138, BeginCacheForCookedPlatformData=0.002705, SerializeImports=19.032761, GatherLocalizableTextData=12.663972, MarkNames=0.076916, SerializeSummary=0.011116, SerializeNames=0.268310, SerializeGatherableTextData=0.131901, BuildExportMap=0.259593, SortExportsNonSeekfree=4.029430, SortExportsSeekfreeConstructor=0.044469, SortExportsSeekfreeInner=18.580875, SortExportsSeekfree=0.004206, BuildDependencyMap=0.146624, SerializeImportMap=0.017125, SerializeExportMap=0.085030, SerializeDependencyMap=0.021033, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.586335, SerializeExports=25.981136, SerializeBulkData=0.008114, MoveFile=2.805971, UnaccountedTime=1.716211, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_15, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=3.354602, FlushAsyncLoading=0.006311, FlushStreamingFunc=0.100654, BlockTillAllRequestsFinished=0.006009, ResetLoadersForSaveUnMarkAllObjects=0.275221, TagPackageExports=18.485029, BeginCacheForCookedPlatformData=0.003606, SerializeImports=19.475334, GatherLocalizableTextData=12.819908, MarkNames=0.130702, SerializeSummary=0.011116, SerializeNames=0.291742, SerializeGatherableTextData=0.132203, BuildExportMap=0.223838, SortExportsNonSeekfree=4.390884, SortExportsSeekfreeConstructor=0.006910, SortExportsSeekfreeInner=17.471586, SortExportsSeekfree=0.003908, BuildDependencyMap=0.151429, SerializeImportMap=0.018928, SerializeExportMap=0.085328, SerializeDependencyMap=0.021033, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.488386, SerializeExports=26.073076, SerializeBulkData=0.007514, MoveFile=1.884468, UnaccountedTime=0.350032, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_16, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=2.648532, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.104256, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.144221, TagPackageExports=18.075205, BeginCacheForCookedPlatformData=0.002403, SerializeImports=18.931206, GatherLocalizableTextData=12.645043, MarkNames=0.075113, SerializeSummary=0.009917, SerializeNames=0.301357, SerializeGatherableTextData=0.165250, BuildExportMap=0.237662, SortExportsNonSeekfree=4.050162, SortExportsSeekfreeConstructor=0.039961, SortExportsSeekfreeInner=18.154528, SortExportsSeekfree=0.004206, BuildDependencyMap=0.150830, SerializeImportMap=0.017427, SerializeExportMap=0.085630, SerializeDependencyMap=0.036657, SerializeStringAssetReferenceMap=0.014722, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.684284, SerializeExports=25.532253, SerializeBulkData=0.006609, MoveFile=2.668660, UnaccountedTime=1.872152, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_17, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=6.908413, FlushAsyncLoading=0.026140, FlushStreamingFunc=0.088032, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.158340, TagPackageExports=18.869915, BeginCacheForCookedPlatformData=0.003304, SerializeImports=20.245411, GatherLocalizableTextData=12.815099, MarkNames=0.061292, SerializeSummary=0.010218, SerializeNames=0.239462, SerializeGatherableTextData=0.133704, BuildExportMap=0.164349, SortExportsNonSeekfree=3.806796, SortExportsSeekfreeConstructor=0.040259, SortExportsSeekfreeInner=18.594698, SortExportsSeekfree=0.004206, BuildDependencyMap=0.124991, SerializeImportMap=0.013217, SerializeExportMap=0.075415, SerializeDependencyMap=0.017427, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.289183, SerializeExports=25.763903, SerializeBulkData=0.006612, MoveFile=2.444520, UnaccountedTime=1.848415, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_18, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=2.675570, FlushAsyncLoading=0.003606, FlushStreamingFunc=0.130396, BlockTillAllRequestsFinished=0.018932, ResetLoadersForSaveUnMarkAllObjects=0.171561, TagPackageExports=17.796680, BeginCacheForCookedPlatformData=0.002705, SerializeImports=19.448296, GatherLocalizableTextData=13.003185, MarkNames=0.075717, SerializeSummary=0.010215, SerializeNames=0.334710, SerializeGatherableTextData=0.136107, BuildExportMap=0.286035, SortExportsNonSeekfree=3.846452, SortExportsSeekfreeConstructor=0.041164, SortExportsSeekfreeInner=18.676117, SortExportsSeekfree=0.003308, BuildDependencyMap=0.148725, SerializeImportMap=0.018328, SerializeExportMap=0.085331, SerializeDependencyMap=0.021335, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.601657, SerializeExports=26.608791, SerializeBulkData=0.007812, MoveFile=2.228789, UnaccountedTime=1.524523, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_19, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=2.759699, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.046872, BlockTillAllRequestsFinished=0.004806, ResetLoadersForSaveUnMarkAllObjects=0.141215, TagPackageExports=17.993177, BeginCacheForCookedPlatformData=0.002105, SerializeImports=19.080534, GatherLocalizableTextData=13.007995, MarkNames=0.078719, SerializeSummary=0.010215, SerializeNames=0.345826, SerializeGatherableTextData=0.146024, BuildExportMap=0.225343, SortExportsNonSeekfree=4.000288, SortExportsSeekfreeConstructor=0.039358, SortExportsSeekfreeInner=18.476318, SortExportsSeekfree=0.003602, BuildDependencyMap=0.148728, SerializeImportMap=0.018328, SerializeExportMap=0.084728, SerializeDependencyMap=0.021633, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.499808, SerializeExports=24.963785, SerializeBulkData=0.007212, MoveFile=2.779231, UnaccountedTime=1.639292, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_20, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=2.687894, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.076618, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=0.171561, TagPackageExports=18.533703, BeginCacheForCookedPlatformData=0.003304, SerializeImports=19.059505, GatherLocalizableTextData=13.070189, MarkNames=0.076316, SerializeSummary=0.010516, SerializeNames=0.266504, SerializeGatherableTextData=0.132501, BuildExportMap=0.228949, SortExportsNonSeekfree=4.064586, SortExportsSeekfreeConstructor=0.039961, SortExportsSeekfreeInner=18.426140, SortExportsSeekfree=0.003904, BuildDependencyMap=0.152033, SerializeImportMap=0.017725, SerializeExportMap=0.086233, SerializeDependencyMap=0.021633, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.576422, SerializeExports=25.208961, SerializeBulkData=0.006910, MoveFile=1.367379, UnaccountedTime=1.343045, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
