CookerStat, GenerateAssetRegistry=7.187363, Initialize=37.805683, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_11, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon.uasset, AutoPackageBackupDelegate=2.848506, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.108749, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.147201, TagPackageExports=19.138367, BeginCacheForCookedPlatformData=0.003003, SerializeImports=22.906736, GatherLocalizableTextData=16.689402, MarkNames=0.093430, SerializeSummary=0.012618, SerializeNames=0.373710, SerializeGatherableTextData=0.140596, BuildExportMap=0.279982, SortExportsNonSeekfree=6.889354, SortExportsSeekfreeConstructor=0.072099, SortExportsSeekfreeInner=23.687805, SortExportsSeekfree=0.004206, BuildDependencyMap=0.177246, SerializeImportMap=0.021029, SerializeExportMap=0.109650, SerializeDependencyMap=0.024032, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.452938, SerializeExports=31.388876, SerializeBulkData=0.008412, MoveFile=2.900179, UnaccountedTime=1.684111, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_12, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=5.378883, FlushAsyncLoading=0.004504, FlushStreamingFunc=0.198875, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.231016, TagPackageExports=82.591438, BeginCacheForCookedPlatformData=0.005409, SerializeImports=84.169205, GatherLocalizableTextData=60.144032, MarkNames=0.436801, SerializeSummary=0.014719, SerializeNames=0.691250, SerializeGatherableTextData=0.678632, BuildExportMap=0.824329, SortExportsNonSeekfree=26.548334, SortExportsSeekfreeConstructor=0.052873, SortExportsSeekfreeInner=98.080696, SortExportsSeekfree=0.007510, BuildDependencyMap=0.651296, SerializeImportMap=0.044461, SerializeExportMap=0.364698, SerializeDependencyMap=0.075106, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.220074, SerializeExports=114.035896, SerializeBulkData=0.009313, MoveFile=1.847237, UnaccountedTime=1.764622, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_13, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/WeaponKremenPistol_2.uasset, AutoPackageBackupDelegate=3.808025, FlushAsyncLoading=0.004206, FlushStreamingFunc=0.173338, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.178143, TagPackageExports=4.897923, BeginCacheForCookedPlatformData=0.001803, SerializeImports=5.843017, GatherLocalizableTextData=4.836637, MarkNames=0.032745, SerializeSummary=0.009011, SerializeNames=0.203680, SerializeGatherableTextData=0.060685, BuildExportMap=0.142094, SortExportsNonSeekfree=1.106419, SortExportsSeekfreeConstructor=0.036951, SortExportsSeekfreeInner=8.439783, SortExportsSeekfree=0.003003, BuildDependencyMap=0.050470, SerializeImportMap=0.011414, SerializeExportMap=0.030644, SerializeDependencyMap=0.006009, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.232882, SerializeExports=7.729307, SerializeBulkData=0.004206, MoveFile=2.390079, UnaccountedTime=1.538109, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_14, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Maps/FirstPersonExampleMap_Auto2.umap, AutoPackageBackupDelegate=17.800629, FlushAsyncLoading=0.009011, FlushStreamingFunc=0.133384, BlockTillAllRequestsFinished=0.006609, ResetLoadersForSaveUnMarkAllObjects=60.349220, TagPackageExports=2.196915, BeginCacheForCookedPlatformData=0.001501, SerializeImports=3.832661, GatherLocalizableTextData=24.601660, MarkNames=0.077806, SerializeSummary=0.012618, SerializeNames=0.523619, SerializeGatherableTextData=0.042357, BuildExportMap=0.417273, SortExportsNonSeekfree=1.026809, SortExportsSeekfreeConstructor=0.039652, SortExportsSeekfreeInner=20.741365, SortExportsSeekfree=0.003003, BuildDependencyMap=0.127677, SerializeImportMap=0.055276, SerializeExportMap=0.055876, SerializeDependencyMap=0.013217, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.494549, SerializeExports=14.578405, SerializeBulkData=1048.850586, MoveFile=2.208028, UnaccountedTime=0.273678, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_15, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/RangeWeapon_Auto2.uasset, AutoPackageBackupDelegate=4.429277, FlushAsyncLoading=0.004809, FlushStreamingFunc=0.058878, BlockTillAllRequestsFinished=0.003304, ResetLoadersForSaveUnMarkAllObjects=0.157118, TagPackageExports=34.542004, BeginCacheForCookedPlatformData=0.006311, SerializeImports=34.429344, GatherLocalizableTextData=26.364780, MarkNames=0.140291, SerializeSummary=0.010818, SerializeNames=0.380021, SerializeGatherableTextData=0.286594, BuildExportMap=0.432592, SortExportsNonSeekfree=10.438126, SortExportsSeekfreeConstructor=0.007208, SortExportsSeekfreeInner=33.636860, SortExportsSeekfree=0.005707, BuildDependencyMap=0.330452, SerializeImportMap=0.031244, SerializeExportMap=0.168532, SerializeDependencyMap=0.033945, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.158380, SerializeExports=48.878273, SerializeBulkData=0.009611, MoveFile=2.521660, UnaccountedTime=0.432294, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_16, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Auto2.uasset, AutoPackageBackupDelegate=3.901154, FlushAsyncLoading=0.003602, FlushStreamingFunc=0.158317, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.137888, TagPackageExports=19.392815, BeginCacheForCookedPlatformData=0.003304, SerializeImports=22.777859, GatherLocalizableTextData=16.915611, MarkNames=0.096731, SerializeSummary=0.011116, SerializeNames=0.352986, SerializeGatherableTextData=0.144798, BuildExportMap=0.275176, SortExportsNonSeekfree=6.808844, SortExportsSeekfreeConstructor=0.008713, SortExportsSeekfreeInner=23.013983, SortExportsSeekfree=0.004206, BuildDependencyMap=0.179347, SerializeImportMap=0.021029, SerializeExportMap=0.107847, SerializeDependencyMap=0.022832, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.213510, SerializeExports=29.122868, SerializeBulkData=0.008110, MoveFile=1.300484, UnaccountedTime=0.303116, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_17, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/WeaponKremenPistol_2_Auto2.uasset, AutoPackageBackupDelegate=3.715500, FlushAsyncLoading=0.003304, FlushStreamingFunc=0.153512, BlockTillAllRequestsFinished=0.003602, ResetLoadersForSaveUnMarkAllObjects=0.134885, TagPackageExports=4.621841, BeginCacheForCookedPlatformData=0.001505, SerializeImports=5.808171, GatherLocalizableTextData=5.678993, MarkNames=0.044160, SerializeSummary=0.009913, SerializeNames=0.228614, SerializeGatherableTextData=0.061586, BuildExportMap=0.149906, SortExportsNonSeekfree=1.192637, SortExportsSeekfreeConstructor=0.006609, SortExportsSeekfreeInner=8.467719, SortExportsSeekfree=0.003003, BuildDependencyMap=0.053477, SerializeImportMap=0.011116, SerializeExportMap=0.030041, SerializeDependencyMap=0.006910, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.009688, SerializeExports=7.489275, SerializeBulkData=0.004206, MoveFile=1.271948, UnaccountedTime=0.189260, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_18, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon.uasset, AutoPackageBackupDelegate=3.089439, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.187155, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.140894, TagPackageExports=18.691349, BeginCacheForCookedPlatformData=0.002705, SerializeImports=21.489389, GatherLocalizableTextData=16.826391, MarkNames=0.094328, SerializeSummary=0.011116, SerializeNames=0.323243, SerializeGatherableTextData=0.141796, BuildExportMap=0.307921, SortExportsNonSeekfree=6.865621, SortExportsSeekfreeConstructor=0.038452, SortExportsSeekfreeInner=24.254686, SortExportsSeekfree=0.003904, BuildDependencyMap=0.177242, SerializeImportMap=0.036050, SerializeExportMap=0.179347, SerializeDependencyMap=0.023134, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.254969, SerializeExports=31.072538, SerializeBulkData=0.007510, MoveFile=2.853315, UnaccountedTime=1.552831, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_19, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon.uasset, AutoPackageBackupDelegate=2.926920, FlushAsyncLoading=0.003304, FlushStreamingFunc=0.090424, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.144199, TagPackageExports=21.346092, BeginCacheForCookedPlatformData=0.004508, SerializeImports=21.319054, GatherLocalizableTextData=16.788240, MarkNames=0.138488, SerializeSummary=0.012018, SerializeNames=0.324745, SerializeGatherableTextData=0.143901, BuildExportMap=0.274576, SortExportsNonSeekfree=6.790817, SortExportsSeekfreeConstructor=0.039957, SortExportsSeekfreeInner=24.086752, SortExportsSeekfree=0.004809, BuildDependencyMap=0.228614, SerializeImportMap=0.020728, SerializeExportMap=0.111751, SerializeDependencyMap=0.026438, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.942609, SerializeExports=31.150047, SerializeBulkData=0.008114, MoveFile=1.573861, UnaccountedTime=1.379795, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_20, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon.uasset, AutoPackageBackupDelegate=2.950650, FlushAsyncLoading=0.002403, FlushStreamingFunc=0.075106, BlockTillAllRequestsFinished=0.003602, ResetLoadersForSaveUnMarkAllObjects=0.144199, TagPackageExports=18.909447, BeginCacheForCookedPlatformData=0.003006, SerializeImports=21.127392, GatherLocalizableTextData=16.799957, MarkNames=0.094928, SerializeSummary=0.011418, SerializeNames=0.326548, SerializeGatherableTextData=0.140291, BuildExportMap=0.271272, SortExportsNonSeekfree=6.708507, SortExportsSeekfreeConstructor=0.042658, SortExportsSeekfreeInner=23.094494, SortExportsSeekfree=0.004206, BuildDependencyMap=0.178747, SerializeImportMap=0.020128, SerializeExportMap=0.108749, SerializeDependencyMap=0.023432, SerializeStringAssetReferenceMap=0.001799, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.117081, SerializeExports=29.842653, SerializeBulkData=0.007510, MoveFile=2.739761, UnaccountedTime=1.730073, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
