CookerStat, GenerateAssetRegistry=0.023738, Initialize=0.111472, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_11, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=4.668616, FlushAsyncLoading=0.005707, FlushStreamingFunc=0.114176, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.162851, TagPackageExports=23.529057, BeginCacheForCookedPlatformData=0.003003, SerializeImports=25.928564, GatherLocalizableTextData=17.644764, MarkNames=0.097048, SerializeSummary=0.012320, SerializeNames=0.359055, SerializeGatherableTextData=0.232261, BuildExportMap=0.267714, SortExportsNonSeekfree=5.814582, SortExportsSeekfreeConstructor=0.041462, SortExportsSeekfreeInner=24.384178, SortExportsSeekfree=0.003904, BuildDependencyMap=0.246681, SerializeImportMap=0.020131, SerializeExportMap=0.119284, SerializeDependencyMap=0.026442, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.558397, SerializeExports=34.078053, SerializeBulkData=0.007212, MoveFile=1.698524, UnaccountedTime=1.486398, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_12, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=2.827968, FlushAsyncLoading=0.003904, FlushStreamingFunc=0.072714, BlockTillAllRequestsFinished=0.004806, ResetLoadersForSaveUnMarkAllObjects=0.150234, TagPackageExports=23.980352, BeginCacheForCookedPlatformData=0.003006, SerializeImports=25.496792, GatherLocalizableTextData=18.002619, MarkNames=0.102758, SerializeSummary=0.011418, SerializeNames=0.302866, SerializeGatherableTextData=0.190496, BuildExportMap=0.306170, SortExportsNonSeekfree=5.717535, SortExportsSeekfreeConstructor=0.069108, SortExportsSeekfreeInner=24.250769, SortExportsSeekfree=0.003606, BuildDependencyMap=0.196807, SerializeImportMap=0.018630, SerializeExportMap=0.117779, SerializeDependencyMap=0.026744, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.593251, SerializeExports=34.975842, SerializeBulkData=0.007510, MoveFile=2.956569, UnaccountedTime=0.355750, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_13, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=2.700873, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.068504, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=0.132807, TagPackageExports=24.438263, BeginCacheForCookedPlatformData=0.003304, SerializeImports=26.972075, GatherLocalizableTextData=17.443150, MarkNames=0.094347, SerializeSummary=0.011116, SerializeNames=0.311583, SerializeGatherableTextData=0.177875, BuildExportMap=0.264108, SortExportsNonSeekfree=5.871068, SortExportsSeekfreeConstructor=0.039063, SortExportsSeekfreeInner=24.684637, SortExportsSeekfree=0.004206, BuildDependencyMap=0.213932, SerializeImportMap=0.018928, SerializeExportMap=0.118684, SerializeDependencyMap=0.026740, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.712837, SerializeExports=34.503212, SerializeBulkData=0.006910, MoveFile=2.638377, UnaccountedTime=1.717754, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_14, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=2.683148, FlushAsyncLoading=0.007510, FlushStreamingFunc=0.174269, BlockTillAllRequestsFinished=0.005707, ResetLoadersForSaveUnMarkAllObjects=0.182685, TagPackageExports=23.837629, BeginCacheForCookedPlatformData=0.003606, SerializeImports=26.435144, GatherLocalizableTextData=17.780874, MarkNames=0.100356, SerializeSummary=0.012018, SerializeNames=0.296257, SerializeGatherableTextData=0.228353, BuildExportMap=0.265609, SortExportsNonSeekfree=6.009586, SortExportsSeekfreeConstructor=0.094347, SortExportsSeekfreeInner=24.469809, SortExportsSeekfree=0.004508, BuildDependencyMap=0.259601, SerializeImportMap=0.019532, SerializeExportMap=0.118081, SerializeDependencyMap=0.027943, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.617890, SerializeExports=35.029018, SerializeBulkData=0.008114, MoveFile=2.760965, UnaccountedTime=1.739390, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_15, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem_ChildCube.uasset, AutoPackageBackupDelegate=0.139117, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.070911, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.197101, TagPackageExports=2.706282, BeginCacheForCookedPlatformData=0.001501, SerializeImports=3.452335, GatherLocalizableTextData=2.996229, MarkNames=0.022534, SerializeSummary=0.009015, SerializeNames=0.186589, SerializeGatherableTextData=0.077821, BuildExportMap=0.097651, SortExportsNonSeekfree=0.527013, SortExportsSeekfreeConstructor=0.039659, SortExportsSeekfreeInner=5.206447, SortExportsSeekfree=0.002705, BuildDependencyMap=0.052281, SerializeImportMap=0.008415, SerializeExportMap=0.018928, SerializeDependencyMap=0.004206, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.116848, SerializeExports=4.100136, SerializeBulkData=0.004806, MoveFile=1.112018, UnaccountedTime=1.181126, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_16, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem_Child.uasset, AutoPackageBackupDelegate=6.723486, FlushAsyncLoading=0.004508, FlushStreamingFunc=0.164654, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.155043, TagPackageExports=0.007514, BeginCacheForCookedPlatformData=0.000902, SerializeImports=0.792325, GatherLocalizableTextData=0.010516, MarkNames=0.004806, SerializeSummary=0.007212, SerializeNames=0.013519, SerializeGatherableTextData=0.001203, BuildExportMap=0.012618, SortExportsNonSeekfree=0.007514, SortExportsSeekfreeConstructor=0.005707, SortExportsSeekfreeInner=0.909805, SortExportsSeekfree=0.002105, BuildDependencyMap=0.005409, SerializeImportMap=0.079624, SerializeExportMap=0.029147, SerializeDependencyMap=0.016525, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.049278, SerializeExports=0.004806, SerializeBulkData=0.002403, MoveFile=1.481589, UnaccountedTime=1.431111, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_17, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem_ChildSphere.uasset, AutoPackageBackupDelegate=0.119284, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.129499, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.204314, TagPackageExports=1.944605, BeginCacheForCookedPlatformData=0.001501, SerializeImports=2.654299, GatherLocalizableTextData=2.401013, MarkNames=0.019830, SerializeSummary=0.008114, SerializeNames=0.095546, SerializeGatherableTextData=0.125293, BuildExportMap=0.083528, SortExportsNonSeekfree=0.350945, SortExportsSeekfreeConstructor=0.037856, SortExportsSeekfreeInner=4.493743, SortExportsSeekfree=0.002705, BuildDependencyMap=0.025239, SerializeImportMap=0.007812, SerializeExportMap=0.015624, SerializeDependencyMap=0.003308, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.092816, SerializeExports=2.909694, SerializeBulkData=0.003304, MoveFile=1.715954, UnaccountedTime=1.646843, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_18, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem_Child2.uasset, AutoPackageBackupDelegate=3.518138, FlushAsyncLoading=0.003904, FlushStreamingFunc=0.138514, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.197105, TagPackageExports=0.007514, BeginCacheForCookedPlatformData=0.000902, SerializeImports=0.634581, GatherLocalizableTextData=0.010215, MarkNames=0.004508, SerializeSummary=0.006009, SerializeNames=0.012919, SerializeGatherableTextData=0.000902, BuildExportMap=0.012320, SortExportsNonSeekfree=0.007812, SortExportsSeekfreeConstructor=0.005707, SortExportsSeekfreeInner=1.038104, SortExportsSeekfree=0.002105, BuildDependencyMap=0.005707, SerializeImportMap=0.066105, SerializeExportMap=0.016525, SerializeDependencyMap=0.000902, SerializeStringAssetReferenceMap=0.000902, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.036657, SerializeExports=0.004806, SerializeBulkData=0.002403, MoveFile=1.248427, UnaccountedTime=1.273669, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_19, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=15.990705, FlushAsyncLoading=0.011720, FlushStreamingFunc=0.187188, BlockTillAllRequestsFinished=0.019830, ResetLoadersForSaveUnMarkAllObjects=50.351799, TagPackageExports=2.134498, BeginCacheForCookedPlatformData=0.001803, SerializeImports=3.683388, GatherLocalizableTextData=21.494314, MarkNames=0.070307, SerializeSummary=0.010516, SerializeNames=0.442885, SerializeGatherableTextData=0.026438, BuildExportMap=0.391204, SortExportsNonSeekfree=0.983723, SortExportsSeekfreeConstructor=0.051677, SortExportsSeekfreeInner=18.597837, SortExportsSeekfree=0.003606, BuildDependencyMap=0.135809, SerializeImportMap=0.050176, SerializeExportMap=0.050180, SerializeDependencyMap=0.054382, SerializeStringAssetReferenceMap=0.003308, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.297101, SerializeExports=13.480630, SerializeBulkData=1063.204712, MoveFile=4.134089, UnaccountedTime=1.357798, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_20, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=7.451516, FlushAsyncLoading=0.005107, FlushStreamingFunc=0.170361, BlockTillAllRequestsFinished=0.005711, ResetLoadersForSaveUnMarkAllObjects=0.727423, TagPackageExports=23.617990, BeginCacheForCookedPlatformData=0.003606, SerializeImports=25.618483, GatherLocalizableTextData=17.775766, MarkNames=0.097651, SerializeSummary=0.013519, SerializeNames=0.310980, SerializeGatherableTextData=0.208825, BuildExportMap=0.269216, SortExportsNonSeekfree=5.978636, SortExportsSeekfreeConstructor=0.043269, SortExportsSeekfreeInner=24.804823, SortExportsSeekfree=0.003908, BuildDependencyMap=0.200409, SerializeImportMap=0.020131, SerializeExportMap=0.153236, SerializeDependencyMap=0.026140, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.058972, SerializeExports=34.250820, SerializeBulkData=0.009011, MoveFile=3.049713, UnaccountedTime=0.328410, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
