CookerStat, GenerateAssetRegistry=0.016827, Initialize=0.089232, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_11, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Ladder.uasset, AutoPackageBackupDelegate=3.868952, FlushAsyncLoading=0.004806, FlushStreamingFunc=0.031848, BlockTillAllRequestsFinished=0.002407, ResetLoadersForSaveUnMarkAllObjects=0.173062, TagPackageExports=0.756241, BeginCacheForCookedPlatformData=0.001505, SerializeImports=1.463212, GatherLocalizableTextData=1.231264, MarkNames=0.015020, SerializeSummary=0.008114, SerializeNames=0.104558, SerializeGatherableTextData=0.004508, BuildExportMap=0.054680, SortExportsNonSeekfree=0.100054, SortExportsSeekfreeConstructor=0.036653, SortExportsSeekfreeInner=2.788521, SortExportsSeekfree=0.003003, BuildDependencyMap=0.017729, SerializeImportMap=0.019830, SerializeExportMap=0.008713, SerializeDependencyMap=0.024937, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.628026, SerializeExports=1.233365, SerializeBulkData=0.003606, MoveFile=1.286846, UnaccountedTime=1.284145, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_12, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Ladder.uasset, AutoPackageBackupDelegate=2.960678, FlushAsyncLoading=0.003908, FlushStreamingFunc=0.031244, BlockTillAllRequestsFinished=0.003308, ResetLoadersForSaveUnMarkAllObjects=0.140913, TagPackageExports=0.631854, BeginCacheForCookedPlatformData=0.001203, SerializeImports=1.285944, GatherLocalizableTextData=0.959050, MarkNames=0.012320, SerializeSummary=0.008412, SerializeNames=0.064299, SerializeGatherableTextData=0.005107, BuildExportMap=0.038158, SortExportsNonSeekfree=0.061292, SortExportsSeekfreeConstructor=0.038158, SortExportsSeekfreeInner=2.659623, SortExportsSeekfree=0.002407, BuildDependencyMap=0.012316, SerializeImportMap=0.006009, SerializeExportMap=0.007510, SerializeDependencyMap=0.001803, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.583858, SerializeExports=1.022745, SerializeBulkData=0.003908, MoveFile=2.719414, UnaccountedTime=1.325607, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_13, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Ladder.uasset, AutoPackageBackupDelegate=2.950162, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.032149, BlockTillAllRequestsFinished=0.002403, ResetLoadersForSaveUnMarkAllObjects=0.137005, TagPackageExports=0.668813, BeginCacheForCookedPlatformData=0.001501, SerializeImports=1.277830, GatherLocalizableTextData=1.465619, MarkNames=0.013519, SerializeSummary=0.008114, SerializeNames=0.066400, SerializeGatherableTextData=0.005107, BuildExportMap=0.042967, SortExportsNonSeekfree=0.064597, SortExportsSeekfreeConstructor=0.038460, SortExportsSeekfreeInner=2.800234, SortExportsSeekfree=0.002105, BuildDependencyMap=0.014119, SerializeImportMap=0.006009, SerializeExportMap=0.007510, SerializeDependencyMap=0.002105, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.630730, SerializeExports=1.093954, SerializeBulkData=0.003908, MoveFile=1.220148, UnaccountedTime=1.254696, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_14, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Ladder.uasset, AutoPackageBackupDelegate=3.035791, FlushAsyncLoading=0.003304, FlushStreamingFunc=0.030946, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.136107, TagPackageExports=1.244184, BeginCacheForCookedPlatformData=0.001501, SerializeImports=1.815647, GatherLocalizableTextData=1.977891, MarkNames=0.018328, SerializeSummary=0.009011, SerializeNames=0.091638, SerializeGatherableTextData=0.074815, BuildExportMap=0.076614, SortExportsNonSeekfree=0.196800, SortExportsSeekfreeConstructor=0.036955, SortExportsSeekfreeInner=3.385220, SortExportsSeekfree=0.002705, BuildDependencyMap=0.021633, SerializeImportMap=0.007212, SerializeExportMap=0.013821, SerializeDependencyMap=0.003606, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.697431, SerializeExports=1.931623, SerializeBulkData=0.003904, MoveFile=2.942052, UnaccountedTime=1.501068, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_15, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Ladder.uasset, AutoPackageBackupDelegate=2.901189, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.123486, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.165250, TagPackageExports=1.607127, BeginCacheForCookedPlatformData=0.001505, SerializeImports=2.333928, GatherLocalizableTextData=2.338137, MarkNames=0.020731, SerializeSummary=0.008713, SerializeNames=0.097949, SerializeGatherableTextData=0.067003, BuildExportMap=0.111166, SortExportsNonSeekfree=0.280626, SortExportsSeekfreeConstructor=0.038758, SortExportsSeekfreeInner=3.941663, SortExportsSeekfree=0.002403, BuildDependencyMap=0.024639, SerializeImportMap=0.007510, SerializeExportMap=0.015024, SerializeDependencyMap=0.003908, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.797485, SerializeExports=2.569787, SerializeBulkData=0.004206, MoveFile=2.600431, UnaccountedTime=1.308180, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_16, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Ladder.uasset, AutoPackageBackupDelegate=2.916511, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.041462, BlockTillAllRequestsFinished=0.002407, ResetLoadersForSaveUnMarkAllObjects=0.134002, TagPackageExports=1.572881, BeginCacheForCookedPlatformData=0.001501, SerializeImports=2.312899, GatherLocalizableTextData=2.286460, MarkNames=0.018928, SerializeSummary=0.008412, SerializeNames=0.097346, SerializeGatherableTextData=0.082929, BuildExportMap=0.087429, SortExportsNonSeekfree=0.282731, SortExportsSeekfreeConstructor=0.005707, SortExportsSeekfreeInner=3.785428, SortExportsSeekfree=0.002403, BuildDependencyMap=0.024635, SerializeImportMap=0.007510, SerializeExportMap=0.015624, SerializeDependencyMap=0.003908, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.433255, SerializeExports=2.545152, SerializeBulkData=0.003606, MoveFile=2.077945, UnaccountedTime=0.170358, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_17, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Ladder.uasset, AutoPackageBackupDelegate=3.686275, FlushAsyncLoading=0.006311, FlushStreamingFunc=0.152331, BlockTillAllRequestsFinished=0.006009, ResetLoadersForSaveUnMarkAllObjects=0.301655, TagPackageExports=2.485059, BeginCacheForCookedPlatformData=0.001505, SerializeImports=3.253922, GatherLocalizableTextData=3.019567, MarkNames=0.022233, SerializeSummary=0.008713, SerializeNames=0.178169, SerializeGatherableTextData=0.009913, BuildExportMap=0.103958, SortExportsNonSeekfree=0.478927, SortExportsSeekfreeConstructor=0.036955, SortExportsSeekfreeInner=4.971318, SortExportsSeekfree=0.002705, BuildDependencyMap=0.030648, SerializeImportMap=0.007510, SerializeExportMap=0.019532, SerializeDependencyMap=0.006910, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.934188, SerializeExports=3.939860, SerializeBulkData=0.003606, MoveFile=1.365867, UnaccountedTime=1.265515, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_18, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Ladder.uasset, AutoPackageBackupDelegate=2.907198, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.129797, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.141814, TagPackageExports=2.577301, BeginCacheForCookedPlatformData=0.001501, SerializeImports=3.293283, GatherLocalizableTextData=3.077555, MarkNames=0.023734, SerializeSummary=0.008114, SerializeNames=0.176366, SerializeGatherableTextData=0.022832, BuildExportMap=0.076618, SortExportsNonSeekfree=0.506267, SortExportsSeekfreeConstructor=0.006009, SortExportsSeekfreeInner=4.715632, SortExportsSeekfree=0.003003, BuildDependencyMap=0.032149, SerializeImportMap=0.007510, SerializeExportMap=0.019830, SerializeDependencyMap=0.006910, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.589192, SerializeExports=3.510509, SerializeBulkData=0.003308, MoveFile=1.489054, UnaccountedTime=0.162844, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_19, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Ladder.uasset, AutoPackageBackupDelegate=2.930034, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.146922, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.212424, TagPackageExports=2.484459, BeginCacheForCookedPlatformData=0.001501, SerializeImports=3.411360, GatherLocalizableTextData=3.073349, MarkNames=0.023134, SerializeSummary=0.008713, SerializeNames=0.164349, SerializeGatherableTextData=0.031248, BuildExportMap=0.090137, SortExportsNonSeekfree=0.477720, SortExportsSeekfreeConstructor=0.006013, SortExportsSeekfreeInner=4.765205, SortExportsSeekfree=0.002705, BuildDependencyMap=0.032451, SerializeImportMap=0.007812, SerializeExportMap=0.019528, SerializeDependencyMap=0.006910, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.584085, SerializeExports=3.477462, SerializeBulkData=0.003606, MoveFile=2.860926, UnaccountedTime=0.171259, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_20, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Ladder.uasset, AutoPackageBackupDelegate=7.627640, FlushAsyncLoading=0.005107, FlushStreamingFunc=0.036657, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.178471, TagPackageExports=2.841700, BeginCacheForCookedPlatformData=0.003003, SerializeImports=3.840107, GatherLocalizableTextData=3.782123, MarkNames=0.029143, SerializeSummary=0.011418, SerializeNames=0.185080, SerializeGatherableTextData=0.011418, BuildExportMap=0.084128, SortExportsNonSeekfree=0.486434, SortExportsSeekfreeConstructor=0.047471, SortExportsSeekfreeInner=5.782247, SortExportsSeekfree=0.005107, BuildDependencyMap=0.040565, SerializeImportMap=0.009913, SerializeExportMap=0.022534, SerializeDependencyMap=0.008412, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.240653, SerializeExports=4.597254, SerializeBulkData=0.007514, MoveFile=1.319598, UnaccountedTime=1.538325, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
