CookerStat, GenerateAssetRegistry=0.242494, Initialize=41.643909, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_11, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=15.265330, FlushAsyncLoading=0.029411, FlushStreamingFunc=0.150356, BlockTillAllRequestsFinished=0.005104, ResetLoadersForSaveUnMarkAllObjects=0.174664, TagPackageExports=21.023329, BeginCacheForCookedPlatformData=0.003301, SerializeImports=24.911016, GatherLocalizableTextData=19.200438, MarkNames=0.102337, SerializeSummary=0.011403, SerializeNames=0.425864, SerializeGatherableTextData=0.178870, BuildExportMap=0.313617, SortExportsNonSeekfree=6.357629, SortExportsSeekfreeConstructor=0.043817, SortExportsSeekfreeInner=28.786398, SortExportsSeekfree=0.004500, BuildDependencyMap=0.223584, SerializeImportMap=0.023708, SerializeExportMap=0.117347, SerializeDependencyMap=0.026107, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.714520, SerializeExports=32.034538, SerializeBulkData=0.008702, MoveFile=3.529046, UnaccountedTime=1.754470, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_12, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=3.622085, FlushAsyncLoading=0.002999, FlushStreamingFunc=0.077128, BlockTillAllRequestsFinished=0.004802, ResetLoadersForSaveUnMarkAllObjects=0.159964, TagPackageExports=21.976494, BeginCacheForCookedPlatformData=0.003003, SerializeImports=24.568584, GatherLocalizableTextData=18.956442, MarkNames=0.108041, SerializeSummary=0.012606, SerializeNames=0.418659, SerializeGatherableTextData=0.232588, BuildExportMap=0.430964, SortExportsNonSeekfree=6.199769, SortExportsSeekfreeConstructor=0.044115, SortExportsSeekfreeInner=26.603664, SortExportsSeekfree=0.004500, BuildDependencyMap=0.242494, SerializeImportMap=0.056121, SerializeExportMap=0.132348, SerializeDependencyMap=0.025511, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.332755, SerializeExports=33.916553, SerializeBulkData=0.008404, MoveFile=1.940843, UnaccountedTime=1.482867, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_13, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=2.917714, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.114344, BlockTillAllRequestsFinished=0.005100, ResetLoadersForSaveUnMarkAllObjects=0.148259, TagPackageExports=21.813835, BeginCacheForCookedPlatformData=0.003301, SerializeImports=23.056307, GatherLocalizableTextData=18.990955, MarkNames=0.102937, SerializeSummary=0.012007, SerializeNames=0.417158, SerializeGatherableTextData=0.169866, BuildExportMap=0.316922, SortExportsNonSeekfree=6.647237, SortExportsSeekfreeConstructor=0.044417, SortExportsSeekfreeInner=26.837454, SortExportsSeekfree=0.005104, BuildDependencyMap=0.198375, SerializeImportMap=0.024609, SerializeExportMap=0.117645, SerializeDependencyMap=0.024907, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.637690, SerializeExports=33.721180, SerializeBulkData=0.007804, MoveFile=3.673103, UnaccountedTime=1.893725, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_14, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=2.827980, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.188172, BlockTillAllRequestsFinished=0.003602, ResetLoadersForSaveUnMarkAllObjects=0.143453, TagPackageExports=21.914974, BeginCacheForCookedPlatformData=0.003301, SerializeImports=24.574585, GatherLocalizableTextData=19.297674, MarkNames=0.111341, SerializeSummary=0.012003, SerializeNames=0.362240, SerializeGatherableTextData=0.222687, BuildExportMap=0.313919, SortExportsNonSeekfree=6.666146, SortExportsSeekfreeConstructor=0.006903, SortExportsSeekfreeInner=26.908878, SortExportsSeekfree=0.018008, BuildDependencyMap=0.201676, SerializeImportMap=0.023108, SerializeExportMap=0.119448, SerializeDependencyMap=0.025213, SerializeStringAssetReferenceMap=0.001799, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.608879, SerializeExports=33.202282, SerializeBulkData=0.008103, MoveFile=2.532065, UnaccountedTime=0.421062, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_15, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=4.330054, FlushAsyncLoading=0.006903, FlushStreamingFunc=0.191472, BlockTillAllRequestsFinished=0.007503, ResetLoadersForSaveUnMarkAllObjects=0.164162, TagPackageExports=23.832705, BeginCacheForCookedPlatformData=0.003602, SerializeImports=24.202444, GatherLocalizableTextData=19.163221, MarkNames=0.149757, SerializeSummary=0.013206, SerializeNames=0.449270, SerializeGatherableTextData=0.181269, BuildExportMap=0.363439, SortExportsNonSeekfree=6.522995, SortExportsSeekfreeConstructor=0.041716, SortExportsSeekfreeInner=27.079943, SortExportsSeekfree=0.004500, BuildDependencyMap=0.199277, SerializeImportMap=0.024609, SerializeExportMap=0.150058, SerializeDependencyMap=0.025511, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.795847, SerializeExports=33.894650, SerializeBulkData=0.009000, MoveFile=1.768876, UnaccountedTime=1.518879, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_16, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=2.883501, FlushAsyncLoading=0.002701, FlushStreamingFunc=0.190273, BlockTillAllRequestsFinished=0.003602, ResetLoadersForSaveUnMarkAllObjects=0.144657, TagPackageExports=23.359123, BeginCacheForCookedPlatformData=0.003904, SerializeImports=23.071312, GatherLocalizableTextData=19.147314, MarkNames=0.108343, SerializeSummary=0.011403, SerializeNames=0.366442, SerializeGatherableTextData=0.219982, BuildExportMap=0.315420, SortExportsNonSeekfree=6.659847, SortExportsSeekfreeConstructor=0.041112, SortExportsSeekfreeInner=26.439800, SortExportsSeekfree=0.004802, BuildDependencyMap=0.193574, SerializeImportMap=0.039015, SerializeExportMap=0.131752, SerializeDependencyMap=0.025809, SerializeStringAssetReferenceMap=0.001799, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.620885, SerializeExports=33.581329, SerializeBulkData=0.008401, MoveFile=3.305163, UnaccountedTime=1.854107, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_17, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Maps/FirstPersonExampleMap_Auto2.umap, AutoPackageBackupDelegate=17.269798, FlushAsyncLoading=0.025507, FlushStreamingFunc=0.098739, BlockTillAllRequestsFinished=0.009604, ResetLoadersForSaveUnMarkAllObjects=50.274906, TagPackageExports=2.535969, BeginCacheForCookedPlatformData=0.001799, SerializeImports=4.418589, GatherLocalizableTextData=25.594976, MarkNames=0.097238, SerializeSummary=0.012904, SerializeNames=0.520099, SerializeGatherableTextData=0.066027, BuildExportMap=0.504792, SortExportsNonSeekfree=1.322906, SortExportsSeekfreeConstructor=0.043213, SortExportsSeekfreeInner=22.897846, SortExportsSeekfree=0.004504, BuildDependencyMap=0.152159, SerializeImportMap=0.058521, SerializeExportMap=0.057921, SerializeDependencyMap=0.014704, SerializeStringAssetReferenceMap=0.002701, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.484066, SerializeExports=15.221518, SerializeBulkData=1020.433899, MoveFile=1.412939, UnaccountedTime=0.262603, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_18, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon_Branch.uasset, AutoPackageBackupDelegate=6.329719, FlushAsyncLoading=0.021007, FlushStreamingFunc=0.084933, BlockTillAllRequestsFinished=0.004500, ResetLoadersForSaveUnMarkAllObjects=0.298616, TagPackageExports=2.997242, BeginCacheForCookedPlatformData=0.001501, SerializeImports=3.703415, GatherLocalizableTextData=3.281754, MarkNames=0.027012, SerializeSummary=0.009600, SerializeNames=0.168364, SerializeGatherableTextData=0.070829, BuildExportMap=0.116445, SortExportsNonSeekfree=0.536904, SortExportsSeekfreeConstructor=0.006601, SortExportsSeekfreeInner=7.055398, SortExportsSeekfree=0.002701, BuildDependencyMap=0.034511, SerializeImportMap=0.009906, SerializeExportMap=0.020105, SerializeDependencyMap=0.030909, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.602803, SerializeExports=4.217211, SerializeBulkData=0.004500, MoveFile=1.565400, UnaccountedTime=1.369424, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_19, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon_Branch.uasset, AutoPackageBackupDelegate=2.775159, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.141352, BlockTillAllRequestsFinished=0.003900, ResetLoadersForSaveUnMarkAllObjects=0.141956, TagPackageExports=2.910510, BeginCacheForCookedPlatformData=0.001799, SerializeImports=3.574666, GatherLocalizableTextData=3.442015, MarkNames=0.026710, SerializeSummary=0.007804, SerializeNames=0.208579, SerializeGatherableTextData=0.074729, BuildExportMap=0.115242, SortExportsNonSeekfree=0.491589, SortExportsSeekfreeConstructor=0.036612, SortExportsSeekfreeInner=7.045493, SortExportsSeekfree=0.002701, BuildDependencyMap=0.034813, SerializeImportMap=0.009902, SerializeExportMap=0.019807, SerializeDependencyMap=0.029709, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.369012, SerializeExports=4.347164, SerializeBulkData=0.003301, MoveFile=3.850471, UnaccountedTime=0.210680, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_20, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=4.510425, FlushAsyncLoading=0.004802, FlushStreamingFunc=0.092734, BlockTillAllRequestsFinished=0.004802, ResetLoadersForSaveUnMarkAllObjects=0.145856, TagPackageExports=22.154163, BeginCacheForCookedPlatformData=0.003900, SerializeImports=26.017237, GatherLocalizableTextData=19.226246, MarkNames=0.112541, SerializeSummary=0.013206, SerializeNames=0.418361, SerializeGatherableTextData=0.703469, BuildExportMap=0.358637, SortExportsNonSeekfree=6.679050, SortExportsSeekfreeConstructor=0.043217, SortExportsSeekfreeInner=26.513025, SortExportsSeekfree=0.005104, BuildDependencyMap=0.192072, SerializeImportMap=0.023410, SerializeExportMap=0.165965, SerializeDependencyMap=0.052523, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.514024, SerializeExports=33.120052, SerializeBulkData=0.008702, MoveFile=1.681242, UnaccountedTime=1.534484, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
