CookerStat, GenerateAssetRegistry=0.021033, Initialize=0.109665, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
DDCTransactionId1E3D70444D05071CDB4468A015A1DDAC_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_F5__6FAD39D5B1C3B4E3C76F71202365BA20834FF303, StartTime=2018.01.23-08.57.46, HierarchicalDDC=, DataSize=199365, Duration=2.225742, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
DDCTransactionIdC1D2A6FB42622F654761148D5FCEB6FF_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_90E0FFAE4AEDD743AB917898E51BB4B__3B55A9E74630D932D480D24DFD99BDCC267079D5, StartTime=2018.01.23-08.57.46, HierarchicalDDC=, DataSize=61786, Duration=1.572859, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
DDCTransactionIdCBD8BD2844F6979B4B26CB9020995F1B_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5762C05C4D15795711289EA7F402821__A08D197D187646B5020A08EB62370CFE58A0A23C, StartTime=2018.01.23-08.57.46, HierarchicalDDC=, DataSize=64472, Duration=1.736306, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
DDCTransactionId1E3D70444D05071CDB4468A015A1DDAC_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EF9F38D14DAB4A7C787CC6B1CDCEB08__BB2C0B22111984BF382267AAD1E2C1DF0D320540, StartTime=2018.01.23-08.57.46, HierarchicalDDC=, DataSize=64472, Duration=1.646772, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_7, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Axe.uasset, AutoPackageBackupDelegate=1.991689, FlushAsyncLoading=0.002403, FlushStreamingFunc=0.211217, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.152029, TagPackageExports=1.927994, BeginCacheForCookedPlatformData=0.001501, SerializeImports=2.538811, GatherLocalizableTextData=3.029447, MarkNames=0.019830, SerializeSummary=0.009313, SerializeNames=0.100650, SerializeGatherableTextData=0.091940, BuildExportMap=0.112068, SortExportsNonSeekfree=0.339810, SortExportsSeekfreeConstructor=0.039961, SortExportsSeekfreeInner=6.012022, SortExportsSeekfree=0.003304, BuildDependencyMap=0.028845, SerializeImportMap=0.008114, SerializeExportMap=0.016224, SerializeDependencyMap=0.003908, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.505961, SerializeExports=3.129497, SerializeBulkData=0.003904, MoveFile=1.378167, UnaccountedTime=0.146620, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_8, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Axe.uasset, AutoPackageBackupDelegate=3.882725, FlushAsyncLoading=0.002407, FlushStreamingFunc=0.030946, BlockTillAllRequestsFinished=0.002403, ResetLoadersForSaveUnMarkAllObjects=0.132799, TagPackageExports=1.907565, BeginCacheForCookedPlatformData=0.001200, SerializeImports=2.616327, GatherLocalizableTextData=2.937209, MarkNames=0.019830, SerializeSummary=0.007514, SerializeNames=0.097044, SerializeGatherableTextData=0.145119, BuildExportMap=0.080820, SortExportsNonSeekfree=0.375863, SortExportsSeekfreeConstructor=0.038762, SortExportsSeekfreeInner=5.715177, SortExportsSeekfree=0.002403, BuildDependencyMap=0.026140, SerializeImportMap=0.008114, SerializeExportMap=0.015620, SerializeDependencyMap=0.003304, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.532404, SerializeExports=3.111470, SerializeBulkData=0.003006, MoveFile=2.688438, UnaccountedTime=1.460191, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_9, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Axe.uasset, AutoPackageBackupDelegate=2.036154, FlushAsyncLoading=0.003908, FlushStreamingFunc=0.126187, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.147220, TagPackageExports=1.930397, BeginCacheForCookedPlatformData=0.001501, SerializeImports=2.584182, GatherLocalizableTextData=2.965748, MarkNames=0.019230, SerializeSummary=0.009015, SerializeNames=0.092536, SerializeGatherableTextData=0.083227, BuildExportMap=0.080820, SortExportsNonSeekfree=0.342216, SortExportsSeekfreeConstructor=0.039659, SortExportsSeekfreeInner=6.005112, SortExportsSeekfree=0.003006, BuildDependencyMap=0.026740, SerializeImportMap=0.007812, SerializeExportMap=0.016224, SerializeDependencyMap=0.003308, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.482531, SerializeExports=3.155038, SerializeBulkData=0.005405, MoveFile=1.546722, UnaccountedTime=1.361646, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_10, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Axe.uasset, AutoPackageBackupDelegate=4.867606, FlushAsyncLoading=0.004508, FlushStreamingFunc=0.107560, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=0.140913, TagPackageExports=2.073411, BeginCacheForCookedPlatformData=0.002105, SerializeImports=2.997600, GatherLocalizableTextData=2.996996, MarkNames=0.021935, SerializeSummary=0.009615, SerializeNames=0.105459, SerializeGatherableTextData=0.124384, BuildExportMap=0.083826, SortExportsNonSeekfree=0.340112, SortExportsSeekfreeConstructor=0.040561, SortExportsSeekfreeInner=6.060395, SortExportsSeekfree=0.003304, BuildDependencyMap=0.027642, SerializeImportMap=0.009615, SerializeExportMap=0.016823, SerializeDependencyMap=0.003606, SerializeStringAssetReferenceMap=0.000902, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.633054, SerializeExports=3.577471, SerializeBulkData=0.008713, MoveFile=1.553033, UnaccountedTime=1.450576, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_11, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Axe.uasset, AutoPackageBackupDelegate=2.001006, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.099450, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=0.130694, TagPackageExports=1.834255, BeginCacheForCookedPlatformData=0.001501, SerializeImports=2.474815, GatherLocalizableTextData=2.591692, MarkNames=0.018325, SerializeSummary=0.007514, SerializeNames=0.093739, SerializeGatherableTextData=0.070605, BuildExportMap=0.079319, SortExportsNonSeekfree=0.379171, SortExportsSeekfreeConstructor=0.039659, SortExportsSeekfreeInner=5.858191, SortExportsSeekfree=0.003006, BuildDependencyMap=0.028241, SerializeImportMap=0.021331, SerializeExportMap=0.016823, SerializeDependencyMap=0.003006, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.552536, SerializeExports=3.399905, SerializeBulkData=0.004206, MoveFile=2.292141, UnaccountedTime=1.379073, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_12, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Axe.uasset, AutoPackageBackupDelegate=1.935504, FlushAsyncLoading=0.003904, FlushStreamingFunc=0.040561, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.140611, TagPackageExports=1.891039, BeginCacheForCookedPlatformData=0.001200, SerializeImports=2.483528, GatherLocalizableTextData=2.663199, MarkNames=0.019528, SerializeSummary=0.009313, SerializeNames=0.092842, SerializeGatherableTextData=0.070605, BuildExportMap=0.079621, SortExportsNonSeekfree=0.372857, SortExportsSeekfreeConstructor=0.040561, SortExportsSeekfreeInner=5.943522, SortExportsSeekfree=0.002705, BuildDependencyMap=0.026438, SerializeImportMap=0.021033, SerializeExportMap=0.016525, SerializeDependencyMap=0.003304, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.810926, SerializeExports=3.480122, SerializeBulkData=0.006910, MoveFile=2.778869, UnaccountedTime=1.429245, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_13, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Axe.uasset, AutoPackageBackupDelegate=1.958940, FlushAsyncLoading=0.003606, FlushStreamingFunc=0.033349, BlockTillAllRequestsFinished=0.002403, ResetLoadersForSaveUnMarkAllObjects=0.137009, TagPackageExports=1.871206, BeginCacheForCookedPlatformData=0.001505, SerializeImports=2.510868, GatherLocalizableTextData=2.701953, MarkNames=0.031851, SerializeSummary=0.007808, SerializeNames=0.092842, SerializeGatherableTextData=0.097044, BuildExportMap=0.093441, SortExportsNonSeekfree=0.447370, SortExportsSeekfreeConstructor=0.047173, SortExportsSeekfreeInner=5.943522, SortExportsSeekfree=0.002701, BuildDependencyMap=0.028845, SerializeImportMap=0.007510, SerializeExportMap=0.015624, SerializeDependencyMap=0.003606, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.809123, SerializeExports=3.122285, SerializeBulkData=0.004206, MoveFile=1.455687, UnaccountedTime=1.650374, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_14, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=385.768555, FlushAsyncLoading=0.015020, FlushStreamingFunc=0.116274, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=53.196350, TagPackageExports=2.847075, BeginCacheForCookedPlatformData=0.002101, SerializeImports=4.595701, GatherLocalizableTextData=29.217356, MarkNames=0.143014, SerializeSummary=0.014123, SerializeNames=0.626739, SerializeGatherableTextData=0.058889, BuildExportMap=0.744216, SortExportsNonSeekfree=1.422036, SortExportsSeekfreeConstructor=0.047769, SortExportsSeekfreeInner=27.119606, SortExportsSeekfree=0.004809, BuildDependencyMap=0.168853, SerializeImportMap=0.089832, SerializeExportMap=0.064898, SerializeDependencyMap=0.060093, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.809318, SerializeExports=16.584291, SerializeBulkData=1021.710266, MoveFile=4.109267, UnaccountedTime=1.351129, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_15, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Axe.uasset, AutoPackageBackupDelegate=2.067402, FlushAsyncLoading=0.004508, FlushStreamingFunc=0.059787, BlockTillAllRequestsFinished=0.007212, ResetLoadersForSaveUnMarkAllObjects=0.172459, TagPackageExports=2.376568, BeginCacheForCookedPlatformData=0.002101, SerializeImports=3.681425, GatherLocalizableTextData=2.799004, MarkNames=0.030946, SerializeSummary=0.010516, SerializeNames=0.100952, SerializeGatherableTextData=0.113569, BuildExportMap=0.101551, SortExportsNonSeekfree=0.363246, SortExportsSeekfreeConstructor=0.045069, SortExportsSeekfreeInner=6.500557, SortExportsSeekfree=0.004206, BuildDependencyMap=0.031546, SerializeImportMap=0.007812, SerializeExportMap=0.029143, SerializeDependencyMap=0.003606, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.927200, SerializeExports=3.169157, SerializeBulkData=0.004206, MoveFile=15.352745, UnaccountedTime=1.392290, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_16, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Axe.uasset, AutoPackageBackupDelegate=1.911171, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.031848, BlockTillAllRequestsFinished=0.002403, ResetLoadersForSaveUnMarkAllObjects=0.137910, TagPackageExports=1.851380, BeginCacheForCookedPlatformData=0.001200, SerializeImports=2.602808, GatherLocalizableTextData=2.643369, MarkNames=0.022531, SerializeSummary=0.009015, SerializeNames=0.093739, SerializeGatherableTextData=0.075415, BuildExportMap=0.117477, SortExportsNonSeekfree=0.338607, SortExportsSeekfreeConstructor=0.040561, SortExportsSeekfreeInner=5.992796, SortExportsSeekfree=0.002705, BuildDependencyMap=0.026137, SerializeImportMap=0.007812, SerializeExportMap=0.016224, SerializeDependencyMap=0.003606, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.731301, SerializeExports=3.046572, SerializeBulkData=0.003908, MoveFile=2.086330, UnaccountedTime=1.665100, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
