CookerStat, GenerateAssetRegistry=7.997826, Initialize=53.487309, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_11, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=3.527779, FlushAsyncLoading=0.003308, FlushStreamingFunc=0.057086, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=0.190195, TagPackageExports=72.291725, BeginCacheForCookedPlatformData=0.005711, SerializeImports=75.158180, GatherLocalizableTextData=53.373734, MarkNames=0.334121, SerializeSummary=0.015322, SerializeNames=0.677552, SerializeGatherableTextData=0.462718, BuildExportMap=0.715714, SortExportsNonSeekfree=23.314125, SortExportsSeekfreeConstructor=0.047773, SortExportsSeekfreeInner=84.922752, SortExportsSeekfree=0.007212, BuildDependencyMap=0.590418, SerializeImportMap=0.041161, SerializeExportMap=0.324205, SerializeDependencyMap=0.066105, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=15.521217, SerializeExports=99.851143, SerializeBulkData=0.008415, MoveFile=2.354160, UnaccountedTime=1.620118, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_12, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/HealthStates.uasset, AutoPackageBackupDelegate=5.615726, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.100356, BlockTillAllRequestsFinished=0.017427, ResetLoadersForSaveUnMarkAllObjects=0.177275, TagPackageExports=34.685894, BeginCacheForCookedPlatformData=0.006009, SerializeImports=36.771732, GatherLocalizableTextData=25.627422, MarkNames=0.120487, SerializeSummary=0.013217, SerializeNames=0.243079, SerializeGatherableTextData=0.335321, BuildExportMap=0.227753, SortExportsNonSeekfree=8.683496, SortExportsSeekfreeConstructor=0.048373, SortExportsSeekfreeInner=31.787291, SortExportsSeekfree=0.006009, BuildDependencyMap=0.299867, SerializeImportMap=0.015322, SerializeExportMap=0.223849, SerializeDependencyMap=0.032153, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.897609, SerializeExports=49.487194, SerializeBulkData=0.009313, MoveFile=1.836754, UnaccountedTime=0.399020, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_13, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon.uasset, AutoPackageBackupDelegate=31.074883, FlushAsyncLoading=0.006013, FlushStreamingFunc=0.152033, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.200111, TagPackageExports=19.719940, BeginCacheForCookedPlatformData=0.003006, SerializeImports=21.439814, GatherLocalizableTextData=15.681967, MarkNames=0.093743, SerializeSummary=0.011720, SerializeNames=0.340126, SerializeGatherableTextData=0.145730, BuildExportMap=0.257798, SortExportsNonSeekfree=5.250960, SortExportsSeekfreeConstructor=0.045672, SortExportsSeekfreeInner=24.758469, SortExportsSeekfree=0.004508, BuildDependencyMap=0.171565, SerializeImportMap=0.021033, SerializeExportMap=0.103060, SerializeDependencyMap=0.019532, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.199369, SerializeExports=27.650766, SerializeBulkData=0.008713, MoveFile=2.879374, UnaccountedTime=1.461770, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_14, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=1054.352051, FlushAsyncLoading=0.029147, FlushStreamingFunc=0.168260, BlockTillAllRequestsFinished=0.006009, ResetLoadersForSaveUnMarkAllObjects=541.297974, TagPackageExports=2.777215, BeginCacheForCookedPlatformData=0.002705, SerializeImports=3.760643, GatherLocalizableTextData=21.834326, MarkNames=0.074815, SerializeSummary=0.012320, SerializeNames=0.432674, SerializeGatherableTextData=0.025541, BuildExportMap=0.423357, SortExportsNonSeekfree=1.004159, SortExportsSeekfreeConstructor=0.041164, SortExportsSeekfreeInner=18.337194, SortExportsSeekfree=0.003602, BuildDependencyMap=0.110574, SerializeImportMap=0.052281, SerializeExportMap=0.050176, SerializeDependencyMap=0.012018, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.407087, SerializeExports=13.135210, SerializeBulkData=1034.198853, MoveFile=3.693640, UnaccountedTime=1.263764, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_15, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon.uasset, AutoPackageBackupDelegate=3.940321, FlushAsyncLoading=0.005409, FlushStreamingFunc=0.079624, BlockTillAllRequestsFinished=0.005409, ResetLoadersForSaveUnMarkAllObjects=0.167660, TagPackageExports=18.427935, BeginCacheForCookedPlatformData=0.004206, SerializeImports=21.629107, GatherLocalizableTextData=15.712015, MarkNames=0.085633, SerializeSummary=0.010516, SerializeNames=0.318795, SerializeGatherableTextData=0.131905, BuildExportMap=0.307076, SortExportsNonSeekfree=5.226921, SortExportsSeekfreeConstructor=0.039663, SortExportsSeekfreeInner=22.184971, SortExportsSeekfree=0.003904, BuildDependencyMap=0.166159, SerializeImportMap=0.019230, SerializeExportMap=0.113577, SerializeDependencyMap=0.018928, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.010977, SerializeExports=28.050989, SerializeBulkData=0.007510, MoveFile=1.581058, UnaccountedTime=0.322398, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_16, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon.uasset, AutoPackageBackupDelegate=4.743170, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.073012, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.169765, TagPackageExports=20.415823, BeginCacheForCookedPlatformData=0.003003, SerializeImports=19.715435, GatherLocalizableTextData=15.806060, MarkNames=0.096448, SerializeSummary=0.013221, SerializeNames=0.317592, SerializeGatherableTextData=0.130404, BuildExportMap=0.313688, SortExportsNonSeekfree=5.048145, SortExportsSeekfreeConstructor=0.042364, SortExportsSeekfreeInner=22.930731, SortExportsSeekfree=0.004206, BuildDependencyMap=0.199210, SerializeImportMap=0.019230, SerializeExportMap=0.103962, SerializeDependencyMap=0.019833, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.954792, SerializeExports=28.483660, SerializeBulkData=0.007812, MoveFile=1.433525, UnaccountedTime=1.641151, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_17, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem.uasset, AutoPackageBackupDelegate=31.810425, FlushAsyncLoading=0.005711, FlushStreamingFunc=0.131905, BlockTillAllRequestsFinished=0.006311, ResetLoadersForSaveUnMarkAllObjects=0.181481, TagPackageExports=17.086948, BeginCacheForCookedPlatformData=0.005107, SerializeImports=18.379559, GatherLocalizableTextData=13.514400, MarkNames=0.078119, SerializeSummary=0.011120, SerializeNames=0.289049, SerializeGatherableTextData=0.104561, BuildExportMap=0.221442, SortExportsNonSeekfree=3.722183, SortExportsSeekfreeConstructor=0.039965, SortExportsSeekfreeInner=19.113298, SortExportsSeekfree=0.004206, BuildDependencyMap=0.149030, SerializeImportMap=0.017427, SerializeExportMap=0.093143, SerializeDependencyMap=0.019528, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.676260, SerializeExports=22.957771, SerializeBulkData=0.007812, MoveFile=2.834905, UnaccountedTime=1.512554, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_18, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon.uasset, AutoPackageBackupDelegate=4.697800, FlushAsyncLoading=0.004809, FlushStreamingFunc=0.054985, BlockTillAllRequestsFinished=0.005409, ResetLoadersForSaveUnMarkAllObjects=0.181783, TagPackageExports=20.754450, BeginCacheForCookedPlatformData=0.003904, SerializeImports=21.401354, GatherLocalizableTextData=16.011278, MarkNames=0.097651, SerializeSummary=0.013221, SerializeNames=0.335023, SerializeGatherableTextData=0.139717, BuildExportMap=0.260804, SortExportsNonSeekfree=5.043037, SortExportsSeekfreeConstructor=0.043869, SortExportsSeekfreeInner=22.433155, SortExportsSeekfree=0.004508, BuildDependencyMap=0.168562, SerializeImportMap=0.019230, SerializeExportMap=0.129201, SerializeDependencyMap=0.021935, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.916630, SerializeExports=28.754078, SerializeBulkData=0.007212, MoveFile=2.998661, UnaccountedTime=1.810610, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_19, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem.uasset, AutoPackageBackupDelegate=3.577057, FlushAsyncLoading=0.004806, FlushStreamingFunc=0.156544, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.189293, TagPackageExports=16.904566, BeginCacheForCookedPlatformData=0.005107, SerializeImports=17.776821, GatherLocalizableTextData=13.237972, MarkNames=0.078421, SerializeSummary=0.010815, SerializeNames=0.281539, SerializeGatherableTextData=0.132807, BuildExportMap=0.231057, SortExportsNonSeekfree=3.614619, SortExportsSeekfreeConstructor=0.040561, SortExportsSeekfreeInner=17.777424, SortExportsSeekfree=0.004206, BuildDependencyMap=0.146929, SerializeImportMap=0.016827, SerializeExportMap=0.090439, SerializeDependencyMap=0.018328, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.568688, SerializeExports=24.037651, SerializeBulkData=0.007812, MoveFile=2.549764, UnaccountedTime=1.719870, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
SavePackageTransactionIdF6430D0F445124A32CEBCF9458D718E5_20, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem.uasset, AutoPackageBackupDelegate=3.696345, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.080224, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.146627, TagPackageExports=16.881130, BeginCacheForCookedPlatformData=0.005107, SerializeImports=18.101629, GatherLocalizableTextData=13.316993, MarkNames=0.079621, SerializeSummary=0.012022, SerializeNames=0.296861, SerializeGatherableTextData=0.175472, BuildExportMap=0.221744, SortExportsNonSeekfree=3.611613, SortExportsSeekfreeConstructor=0.082627, SortExportsSeekfreeInner=17.299078, SortExportsSeekfree=0.004508, BuildDependencyMap=0.147529, SerializeImportMap=0.015024, SerializeExportMap=0.090137, SerializeDependencyMap=0.018630, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.716821, SerializeExports=22.987518, SerializeBulkData=0.007212, MoveFile=2.435885, UnaccountedTime=1.592174, RunGuid=RunIDD6F320874B2BC125CCF0B6817B81B61F
