CookerStat, GenerateAssetRegistry=0.019528, Initialize=0.106357, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_11, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.528265, FlushAsyncLoading=0.003606, FlushStreamingFunc=0.209108, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.149623, TagPackageExports=86.925758, BeginCacheForCookedPlatformData=0.019230, SerializeImports=90.596626, GatherLocalizableTextData=62.918804, MarkNames=0.492435, SerializeSummary=0.016224, SerializeNames=0.710256, SerializeGatherableTextData=0.606306, BuildExportMap=1.189470, SortExportsNonSeekfree=26.774075, SortExportsSeekfreeConstructor=0.011418, SortExportsSeekfreeInner=105.464867, SortExportsSeekfree=0.007208, BuildDependencyMap=0.787474, SerializeImportMap=0.048671, SerializeExportMap=0.429340, SerializeDependencyMap=0.080220, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=14.398046, SerializeExports=116.877365, SerializeBulkData=0.009015, MoveFile=2.676386, UnaccountedTime=1.973040, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_12, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.908032, FlushAsyncLoading=0.003602, FlushStreamingFunc=0.082623, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.148721, TagPackageExports=84.676308, BeginCacheForCookedPlatformData=0.006612, SerializeImports=88.858238, GatherLocalizableTextData=63.056408, MarkNames=0.424232, SerializeSummary=0.015922, SerializeNames=0.820223, SerializeGatherableTextData=0.597890, BuildExportMap=0.834942, SortExportsNonSeekfree=27.513176, SortExportsSeekfreeConstructor=0.061590, SortExportsSeekfreeInner=108.559181, SortExportsSeekfree=0.006307, BuildDependencyMap=1.700833, SerializeImportMap=0.045966, SerializeExportMap=0.372555, SerializeDependencyMap=0.076916, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=20.135086, SerializeExports=118.938736, SerializeBulkData=0.009615, MoveFile=2.664369, UnaccountedTime=1.942694, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_13, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=5.309209, FlushAsyncLoading=0.005107, FlushStreamingFunc=0.191383, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.150524, TagPackageExports=84.898636, BeginCacheForCookedPlatformData=0.009917, SerializeImports=90.278450, GatherLocalizableTextData=63.536827, MarkNames=0.456080, SerializeSummary=0.045367, SerializeNames=0.727382, SerializeGatherableTextData=0.631541, BuildExportMap=0.979159, SortExportsNonSeekfree=27.521286, SortExportsSeekfreeConstructor=0.056785, SortExportsSeekfreeInner=103.669693, SortExportsSeekfree=0.006910, BuildDependencyMap=0.773653, SerializeImportMap=0.045970, SerializeExportMap=0.404701, SerializeDependencyMap=0.133701, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=20.237841, SerializeExports=112.226738, SerializeBulkData=0.009615, MoveFile=1.747403, UnaccountedTime=1.845948, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_14, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=4.689984, FlushAsyncLoading=0.005107, FlushStreamingFunc=0.066999, BlockTillAllRequestsFinished=0.006009, ResetLoadersForSaveUnMarkAllObjects=0.169151, TagPackageExports=87.335869, BeginCacheForCookedPlatformData=0.006009, SerializeImports=87.062462, GatherLocalizableTextData=62.330528, MarkNames=0.513766, SerializeSummary=0.018928, SerializeNames=0.731591, SerializeGatherableTextData=0.599090, BuildExportMap=0.950616, SortExportsNonSeekfree=26.957649, SortExportsSeekfreeConstructor=0.055581, SortExportsSeekfreeInner=105.459160, SortExportsSeekfree=0.006009, BuildDependencyMap=1.670189, SerializeImportMap=0.088934, SerializeExportMap=0.377361, SerializeDependencyMap=0.077214, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=21.004583, SerializeExports=117.705696, SerializeBulkData=0.009011, MoveFile=2.649348, UnaccountedTime=1.797575, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_15, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.637029, FlushAsyncLoading=0.003304, FlushStreamingFunc=0.164643, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.147220, TagPackageExports=88.143776, BeginCacheForCookedPlatformData=0.005107, SerializeImports=89.431488, GatherLocalizableTextData=63.485447, MarkNames=0.462089, SerializeSummary=0.015922, SerializeNames=0.732794, SerializeGatherableTextData=0.583768, BuildExportMap=1.003794, SortExportsNonSeekfree=27.418234, SortExportsSeekfreeConstructor=0.055585, SortExportsSeekfreeInner=104.287712, SortExportsSeekfree=0.012621, BuildDependencyMap=0.779659, SerializeImportMap=0.048373, SerializeExportMap=0.414319, SerializeDependencyMap=0.078119, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.761030, SerializeExports=121.266602, SerializeBulkData=0.009011, MoveFile=2.457660, UnaccountedTime=1.871187, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_16, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.621405, FlushAsyncLoading=0.003606, FlushStreamingFunc=0.130393, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.149924, TagPackageExports=83.826942, BeginCacheForCookedPlatformData=0.006307, SerializeImports=91.735924, GatherLocalizableTextData=63.477039, MarkNames=0.417322, SerializeSummary=0.017125, SerializeNames=0.828333, SerializeGatherableTextData=0.571448, BuildExportMap=0.908256, SortExportsNonSeekfree=28.204203, SortExportsSeekfreeConstructor=0.061594, SortExportsSeekfreeInner=104.585159, SortExportsSeekfree=0.006910, BuildDependencyMap=0.698242, SerializeImportMap=0.046570, SerializeExportMap=0.371054, SerializeDependencyMap=0.771549, SerializeStringAssetReferenceMap=0.003908, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.486420, SerializeExports=115.645836, SerializeBulkData=0.009611, MoveFile=3.056452, UnaccountedTime=2.080601, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_17, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.597969, FlushAsyncLoading=0.003606, FlushStreamingFunc=0.104856, BlockTillAllRequestsFinished=0.004806, ResetLoadersForSaveUnMarkAllObjects=0.144515, TagPackageExports=85.486618, BeginCacheForCookedPlatformData=0.006009, SerializeImports=90.451210, GatherLocalizableTextData=63.722206, MarkNames=0.451870, SerializeSummary=0.016227, SerializeNames=0.745710, SerializeGatherableTextData=0.560034, BuildExportMap=0.907049, SortExportsNonSeekfree=28.282021, SortExportsSeekfreeConstructor=0.062495, SortExportsSeekfreeInner=105.068573, SortExportsSeekfree=0.006910, BuildDependencyMap=1.309954, SerializeImportMap=0.045367, SerializeExportMap=0.370152, SerializeDependencyMap=0.080522, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.028238, SerializeExports=112.697243, SerializeBulkData=0.009615, MoveFile=1.911446, UnaccountedTime=1.861271, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_18, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=5.525529, FlushAsyncLoading=0.020429, FlushStreamingFunc=0.175763, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.231646, TagPackageExports=84.738197, BeginCacheForCookedPlatformData=0.006009, SerializeImports=92.978874, GatherLocalizableTextData=62.648102, MarkNames=0.482518, SerializeSummary=0.017427, SerializeNames=0.836447, SerializeGatherableTextData=0.560936, BuildExportMap=1.478501, SortExportsNonSeekfree=27.561548, SortExportsSeekfreeConstructor=0.057686, SortExportsSeekfreeInner=107.422279, SortExportsSeekfree=0.007212, BuildDependencyMap=2.213094, SerializeImportMap=0.046272, SerializeExportMap=0.376157, SerializeDependencyMap=0.076916, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=20.590868, SerializeExports=115.190659, SerializeBulkData=0.009611, MoveFile=1.929175, UnaccountedTime=1.680400, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_19, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.615094, FlushAsyncLoading=0.003304, FlushStreamingFunc=0.183571, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.149623, TagPackageExports=90.860115, BeginCacheForCookedPlatformData=0.006009, SerializeImports=92.843376, GatherLocalizableTextData=63.937622, MarkNames=0.419725, SerializeSummary=0.015922, SerializeNames=0.773955, SerializeGatherableTextData=0.684120, BuildExportMap=0.875503, SortExportsNonSeekfree=28.197895, SortExportsSeekfreeConstructor=0.060990, SortExportsSeekfreeInner=106.370117, SortExportsSeekfree=0.008412, BuildDependencyMap=2.121460, SerializeImportMap=0.047773, SerializeExportMap=0.448868, SerializeDependencyMap=0.081722, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.491528, SerializeExports=122.487923, SerializeBulkData=0.009615, MoveFile=3.352992, UnaccountedTime=1.860373, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_20, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=4.047025, FlushAsyncLoading=0.003308, FlushStreamingFunc=0.098545, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=0.136103, TagPackageExports=87.456055, BeginCacheForCookedPlatformData=0.006609, SerializeImports=91.372681, GatherLocalizableTextData=62.617458, MarkNames=0.549819, SerializeSummary=0.016823, SerializeNames=0.741806, SerializeGatherableTextData=0.558533, BuildExportMap=0.903744, SortExportsNonSeekfree=27.642969, SortExportsSeekfreeConstructor=0.060391, SortExportsSeekfreeInner=104.899124, SortExportsSeekfree=0.006612, BuildDependencyMap=1.772638, SerializeImportMap=0.046268, SerializeExportMap=0.456378, SerializeDependencyMap=0.078715, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=18.918573, SerializeExports=117.058235, SerializeBulkData=0.009615, MoveFile=1.758821, UnaccountedTime=1.660272, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
